record_id,id
1234175,1
1234300,1
1234301,2
1234301,1
1235047,2
1235047,1
1235048,2
1235048,1
1235049,2
1235049,1
1235373,2
1235373,1
1235374,2
1235375,2
1235375,1
1235376,2
1235376,1
1235414,2
1235414,1
1235415,2
1235416,2
1235417,2
1235417,1
1235418,2
1235418,1
1235419,2
1235419,1
1235420,2
1235420,1
1235421,2
1235421,1
1235422,2
1235422,1
1235423,2
1235423,1
1235424,2
1235424,1
1235425,2
1235425,1
1235460,2
1235460,1
1235461,2
1235461,1
1235462,2
1235462,1
1235463,2
1235464,2
1235464,1
1235465,2
1235465,1
1235466,2
1235466,1
1235467,2
1235467,1
1235468,2
1235468,1
1235469,2
1235470,2
1235470,1
1235471,2
1235471,1
1235566,2
1235567,2
1235772,2
1235773,2
1235773,1
1235774,2
1235775,2
1235776,2
1235777,2
1235777,1
1235778,2
1235779,2
1235779,1
1235780,2
1235780,1
1235781,2
1235781,1
1235782,2
1235782,1
1235783,2
1235784,2
1235785,2
1235786,2
1235786,1
1235787,2
1235788,2
1235788,1
1235789,2
1235790,2
1235791,2
1235791,1
1235792,2
1235792,1
1235793,2
1235793,1
1235794,2
1235794,1
1235795,2
1235795,1
1235796,2
1235797,1
1235798,1
1235799,2
1235799,1
1235800,2
1235800,1
1235801,2
1235801,1
1235802,2
1235802,1
1235814,2
1235814,1
1235815,2
1235815,1
1235816,2
1235816,1
1235997,2
1235997,1
1235998,2
1235998,1
1235999,2
1235999,1
1236000,2
1236000,1
1236001,2
1236001,1
1236572,2
1236572,1
1236573,2
1236573,1
1236574,2
1236574,1
1236575,2
1236575,1
1236576,2
1236576,1
1236577,2
1236577,1
1236578,2
1236578,1
1236579,2
1236579,1
1236580,2
1236580,1
1236649,1
1236650,2
1236650,1
1236655,2
1236655,1
1236727,2
1236727,1
1236828,2
1236828,1
1236829,1
1236830,2
1236830,1
1238086,2
1238086,1
1238087,2
1238087,1
1238088,2
1238088,1
1238089,2
1238089,1
1238092,2
1238093,2
1238093,1
1238094,2
1238094,1
1238740,2
1238740,1
1238741,2
1238741,1
1238742,1
1238991,1
1238992,1
1238993,2
1238993,1
1239448,1
1240499,2
1240499,1
1240529,2
1240567,1
1241116,2
1241117,2
1241117,1
1241120,1
1241141,1
1241142,2
1241142,1
1241143,2
1241143,1
1241144,1
1241342,2
1241342,1
1241344,2
1241344,1
1241400,2
1241400,1
1241620,2
1241636,2
1241636,1
1241637,2
1241637,1
1241638,1
1241639,1
1241640,1
1241641,2
1241641,1
1241642,2
1241642,1
1242553,2
1242553,1
1242554,2
1242554,1
1242555,2
1242555,1
1242573,2
1242573,1
1242574,2
1242574,1
1244067,2
1244068,2
1244068,1
1244069,1
1244070,2
1244070,1
1244071,2
1244071,1
1244072,2
1244072,1
1244073,2
1244073,1
1258242,2
1258273,2
1258327,1
1258328,2
1258329,2
1258363,2
1258364,2
1258365,2
1258389,2
1258390,2
1258391,2
1258489,2
1258520,2
1258528,2
1258529,2
1258572,2
1258575,2
1258576,2
1258629,2
1258694,2
1258743,2
1258947,2
1258947,1
1258948,2
1258949,2
1258949,1
1258950,2
1258950,1
1258951,2
1258951,1
1258952,2
1258952,1
1259011,2
1259080,2
1259080,1
1259101,2
1259102,2
1259103,2
1259926,2
1259983,1
1259984,2
1259985,2
1260667,2
1261592,2
1261592,1
1263055,2
1263265,2
1263265,1
1263600,2
1263601,2
1263601,1
1263840,2
1263840,1
1264269,2
1264269,1
1236648,3
1236648,1
1237024,3
1237025,3
1237027,3
1237295,3
1237296,3
1237297,3
1237298,3
1237299,3
1237300,3
1237310,3
1238060,3
1238103,3
1238109,3
1238111,3
1238119,3
1238133,3
1238277,3
1238278,3
1238279,3
1238280,3
1238281,3
1238282,3
1238283,3
1238284,3
1242741,3
1242853,3
1243181,3
1243221,3
1243222,3
1243223,3
1243224,3
1243225,3
1243240,3
1243250,3
1244272,3
1244273,3
1244274,3
1244275,3
1244276,3
1244277,3
1244278,3
1244279,3
1244280,3
1244281,3
1244282,3
1244283,3
1244284,3
1244285,3
1244286,3
1244287,3
1244288,3
1244289,3
1244290,3
1244291,3
1244292,3
1244293,3
1244294,3
1244295,3
1244296,3
1245340,3
1245341,3
1245342,3
1245343,3
1245344,3
1245345,3
1245347,3
1245348,3
1245431,3
1245432,3
1245433,3
1245434,3
1245435,3
1245436,3
1245437,3
1245438,3
1245439,3
1245440,3
1245441,3
1245442,3
1245443,3
1245444,3
1245445,3
1245446,3
1245447,3
1245448,3
1245449,3
1245450,3
1245451,3
1245452,3
1245453,3
1274530,3
1274833,3
1274834,3
1275885,3
1275886,3
1275887,3
1275888,3
1275889,3
1275890,3
1275891,3
1235285,4
1235285,5
1235379,4
1235379,5
1235380,4
1235380,5
1235771,4
1235771,5
1235877,4
1235877,5
1235974,4
1235974,5
1235975,5
1236004,4
1236004,5
1236386,5
1236387,5
1236388,5
1236389,5
1236390,5
1236391,5
1236408,5
1236410,5
1236634,5
1236640,5
1236642,5
1236644,5
1239442,4
1239442,5
1239446,4
1239446,5
1239453,4
1239453,5
1239457,4
1239457,5
