record_id,id
1234175,1
1234175,2
1234300,1
1234301,1
1234301,3
1235047,1
1235047,3
1235048,1
1235048,3
1235049,1
1235049,3
1235373,3
1235373,1
1235374,3
1235374,1
1235375,3
1235375,1
1235376,1
1235376,4
1235376,2
1235376,3
1235414,1
1235414,3
1235415,3
1235416,3
1235416,2
1235417,1
1235417,3
1235418,1
1235418,3
1235419,1
1235419,3
1235420,1
1235420,3
1235421,1
1235421,3
1235422,1
1235422,3
1235423,1
1235423,3
1235424,1
1235424,3
1235425,1
1235425,3
1235460,3
1235461,1
1235461,3
1235462,1
1235462,3
1235463,3
1235464,1
1235464,3
1235465,1
1235465,4
1235465,3
1235466,1
1235466,3
1235467,1
1235467,4
1235467,3
1235468,1
1235468,3
1235469,3
1235470,3
1235471,1
1235471,3
1235566,3
1235567,3
1235772,3
1235773,3
1235773,1
1235774,3
1235775,3
1235776,3
1235777,3
1235777,1
1235778,3
1235779,2
1235779,3
1235779,1
1235780,2
1235780,1
1235780,3
1235781,3
1235781,1
1235782,3
1235782,1
1235783,3
1235784,3
1235784,2
1235785,3
1235786,1
1235786,4
1235786,3
1235787,3
1235787,2
1235788,1
1235788,3
1235789,3
1235790,3
1235790,2
1235791,1
1235791,3
1235792,1
1235792,3
1235793,1
1235793,3
1235794,1
1235794,3
1235795,1
1235795,3
1235796,3
1235797,1
1235798,1
1235799,1
1235799,3
1235800,3
1235801,1
1235801,3
1235802,1
1235802,3
1235814,1
1235814,3
1235815,1
1235815,3
1235816,3
1235816,1
1235997,2
1235997,3
1235997,1
1235998,2
1235998,1
1235998,3
1235999,2
1235999,3
1235999,1
1236000,2
1236000,3
1236000,1
1236001,1
1236001,3
1236572,1
1236572,3
1236573,1
1236573,3
1236574,1
1236574,3
1236575,1
1236575,3
1236576,1
1236576,3
1236577,1
1236577,3
1236578,1
1236578,3
1236579,1
1236579,3
1236580,1
1236580,3
1236649,1
1236650,1
1236650,4
1236650,3
1236655,3
1236655,1
1236727,1
1236727,3
1236828,1
1236828,3
1236829,1
1236830,1
1236830,3
1238086,1
1238086,3
1238087,1
1238087,3
1238088,1
1238088,3
1238089,1
1238089,3
1238092,3
1238093,3
1238094,1
1238094,3
1238740,2
1238740,1
1238740,3
1238741,1
1238741,3
1238742,1
1238991,2
1238991,1
1238992,2
1238992,1
1238993,1
1238993,3
1239448,2
1239448,1
1240499,3
1240499,1
1240529,3
1240567,1
1241116,3
1241117,1
1241117,3
1241120,1
1241141,1
1241142,3
1241143,1
1241143,3
1241144,1
1241342,1
1241342,3
1241342,4
1241344,3
1241400,1
1241400,3
1241620,3
1241636,2
1241636,1
1241636,3
1241636,4
1241637,2
1241637,1
1241637,3
1241638,1
1241638,3
1241639,1
1241639,3
1241639,4
1241640,2
1241640,1
1241640,3
1241641,1
1241641,3
1241642,3
1241642,1
1242553,1
1242553,3
1242554,1
1242554,3
1242555,1
1242555,3
1242555,4
1242573,1
1242573,3
1242574,1
1242574,3
1242574,4
1244067,3
1244068,3
1244068,1
1244069,3
1244069,1
1244070,2
1244070,3
1244070,1
1244071,3
1244071,1
1244072,3
1244072,1
1244072,4
1244073,3
1244073,1
1258242,3
1258273,3
1258327,1
1258328,3
1258329,3
1258363,3
1258364,3
1258365,3
1258389,3
1258390,3
1258391,3
1258489,3
1258520,3
1258528,3
1258529,3
1258572,3
1258575,3
1258576,3
1258629,3
1258694,3
1258743,3
1258947,1
1258947,3
1258948,3
1258949,1
1258949,3
1258950,1
1258950,3
1258951,1
1258951,3
1258952,1
1258952,3
1259011,3
1259080,3
1259080,1
1259101,3
1259102,3
1259103,3
1259148,1
1259148,3
1259926,3
1259983,1
1259984,3
1259985,3
1260667,3
1260827,3
1261592,3
1261592,1
1263055,3
1263265,1
1263265,3
1263600,3
1263601,1
1263601,3
1263840,1
1263840,3
1264269,3
1264269,1
1236648,1
1237024,5
1237025,5
1237027,5
1237295,5
1237296,5
1237297,5
1237298,5
1237299,5
1237300,5
1237310,5
1238060,5
1238103,5
1238109,5
1238111,5
1238119,5
1238133,5
1238277,5
1238278,5
1238279,5
1238280,5
1238281,5
1238282,5
1238283,5
1238284,5
1242741,5
1242742,5
1242853,5
1243181,5
1243221,5
1243222,5
1243223,5
1243224,5
1243225,5
1243240,5
1243250,5
1244272,5
1244273,5
1244274,5
1244275,5
1244276,5
1244277,5
1244278,5
1244279,5
1244280,5
1244281,5
1244282,5
1244283,5
1244284,5
1244285,5
1244286,5
1244287,5
1244288,5
1244289,5
1244290,5
1244291,5
1244292,5
1244293,5
1244294,5
1244295,5
1244296,5
1245338,5
1245339,5
1245340,5
1245341,5
1245342,5
1245343,5
1245344,5
1245345,5
1245347,5
1245348,5
1245431,5
1245432,5
1245433,5
1245434,5
1245435,5
1245437,5
1245438,5
1245439,5
1245440,5
1245441,5
1245442,5
1245443,5
1245444,5
1245445,5
1245446,5
1245447,5
1245448,5
1245449,5
1245450,5
1245451,5
1245452,5
1245453,5
1274530,5
1274833,5
1274834,5
1275885,5
1275886,5
1275887,5
1275888,5
1275889,5
1275890,5
1275891,5
1235285,2
1235379,2
1235380,2
1235771,2
1235877,2
1235974,2
1235975,2
1235976,6
1236004,2
1236386,2
1236387,2
1236388,2
1236389,2
1236390,2
1236391,2
1236408,2
1236410,2
1236634,2
1236640,2
1236642,2
1236644,2
1239442,2
1239446,2
1239453,2
1239457,2
1239459,2
1241054,2
1241104,2
1241106,2
1246369,2
1246764,2
1234088,3
1234218,3
1234219,3
1234343,4
1234343,3
1234788,3
1234789,3
1234798,3
1234799,3
1235122,3
1235123,4
1235123,3
1235124,3
1235125,3
1235125,5
1235125,2
1235126,3
1235130,3
1235131,4
1235131,3
1235132,3
1235133,3
1235134,4
1235134,3
1235153,3
1235154,3
1235154,2
1235155,3
1235155,5
1235156,1
1235156,3
1235167,3
1235426,3
1235427,3
1235428,3
1235429,3
1235473,3
1235474,4
1235474,3
1235482,1
1235482,4
1235482,3
1235483,4
1235483,3
1235496,4
1235497,3
1235498,3
1235514,4
1235514,3
1235517,4
1235517,3
1235521,3
1235527,4
1235528,4
1235528,3
1235529,4
1235529,3
1235535,3
1235540,3
1235555,1
1235555,4
1235555,3
1235564,3
1235568,3
1235568,2
1235569,4
1235569,3
1235570,1
1235570,3
1235571,3
1235571,2
1235572,3
1235572,2
1235573,3
1235574,3
1235575,3
1235575,2
1235803,3
1235804,3
1235805,3
1235807,4
1235807,3
1235809,3
1235811,1
1235811,3
1235818,3
1235831,3
1235832,1
1235832,3
1235834,3
1235835,3
1235838,1
1235838,3
1235841,3
1235845,3
1235849,3
1235850,3
1235859,3
1235861,3
1235863,3
1235864,3
1235865,1
1235865,3
1235866,3
1235866,2
1235867,3
1235867,2
1235868,3
1235868,2
1235869,3
1235869,2
1235870,3
1235870,2
1235871,3
1235871,2
1235872,3
1235872,2
1235873,3
1235873,2
1235874,3
1235874,2
1235875,3
1235875,2
1235987,3
1235988,1
1235988,3
1236706,3
1235508,4
1235508,3
1235515,6
1235516,3
1235522,3
1235522,6
1235523,3
1235523,6
1235524,3
1235524,6
1235525,3
1235525,6
1235526,3
1235526,6
1235530,3
1235531,3
1235565,3
1235565,6
1235592,3
1235592,6
1235593,3
1235593,4
1235600,3
1235600,6
1235806,6
1235808,3
1235812,3
1235817,3
1235819,6
1235819,3
1235820,6
1235820,4
1235820,3
1235821,4
1235821,6
1235821,3
1235822,6
1235822,4
1235822,3
1235823,4
1235824,3
1235824,4
1235825,3
1235825,6
1235826,3
1235826,4
1235827,3
1235827,4
1235828,3
1235830,3
1235830,6
1235833,4
1235833,6
1235833,3
1235833,5
1235839,4
1235840,4
1235842,3
1235842,6
1235843,3
1235844,3
1235844,6
1235846,3
1235847,3
1235851,3
1235852,3
1235853,4
1235853,3
1235854,3
1235855,4
1235855,6
1235855,3
1235856,4
1235856,3
1235857,4
1235857,3
1235857,5
1235858,3
1235860,3
1235860,6
1235862,3
1235862,6
1235876,4
1235876,6
1235876,3
1235878,3
1235878,6
1235981,4
1235981,6
1235981,3
1235982,4
1235982,6
1235982,3
1235983,4
1235983,6
1235983,3
1235993,4
1235993,3
1235994,3
1235995,3
1235995,6
1235996,3
1236013,3
1236013,6
1236014,3
1236014,6
1236035,3
