record_id,id
1234175,1
1234175,2
1234300,1
1234300,2
1234301,3
1234301,1
1234301,2
1235047,1
1235047,2
1235048,1
1235048,2
1235049,1
1235049,2
1235373,1
1235373,2
1235374,1
1235374,4
1235374,2
1235375,3
1235375,1
1235375,2
1235376,1
1235376,2
1235414,1
1235414,2
1235415,3
1235415,1
1235415,2
1235416,1
1235416,2
1235417,3
1235417,1
1235417,2
1235418,3
1235418,1
1235418,2
1235419,3
1235419,1
1235419,2
1235420,1
1235420,2
1235421,1
1235421,2
1235422,3
1235422,1
1235422,2
1235423,3
1235423,1
1235423,2
1235424,3
1235424,1
1235424,2
1235425,3
1235425,1
1235425,2
1235460,2
1235461,2
1235462,1
1235462,2
1235463,2
1235464,1
1235464,2
1235465,1
1235465,2
1235465,5
1235466,2
1235467,2
1235467,5
1235468,1
1235468,2
1235469,2
1235470,2
1235471,2
1235566,3
1235567,1
1235567,2
1235772,1
1235772,6
1235772,2
1235773,1
1235773,2
1235774,1
1235774,2
1235774,4
1235775,1
1235775,3
1235775,2
1235776,1
1235776,2
1235777,1
1235777,2
1235778,2
1235779,3
1235779,1
1235779,2
1235780,1
1235780,6
1235780,2
1235781,1
1235781,2
1235782,1
1235782,2
1235783,1
1235783,2
1235784,3
1235784,1
1235784,2
1235785,3
1235785,1
1235785,2
1235786,3
1235786,1
1235786,2
1235787,3
1235787,1
1235787,2
1235788,3
1235788,1
1235788,2
1235789,3
1235789,1
1235789,2
1235790,1
1235790,2
1235791,3
1235791,2
1235792,3
1235792,1
1235792,2
1235793,3
1235793,1
1235793,2
1235794,2
1235795,2
1235796,2
1235797,1
1235797,2
1235798,1
1235798,2
1235799,3
1235799,1
1235799,2
1235800,2
1235801,1
1235801,2
1235802,1
1235802,2
1235814,2
1235815,1
1235815,2
1235816,1
1235816,2
1235997,1
1235997,2
1235998,1
1235998,2
1235999,1
1235999,2
1236000,1
1236000,2
1236001,1
1236001,4
1236001,2
1236572,3
1236572,1
1236572,2
1236573,3
1236573,1
1236573,2
1236574,3
1236574,1
1236574,2
1236575,3
1236575,1
1236575,2
1236576,1
1236576,2
1236577,3
1236577,1
1236577,2
1236578,3
1236578,1
1236578,2
1236579,3
1236579,1
1236579,2
1236580,1
1236580,2
1236649,2
1236650,3
1236650,1
1236650,2
1236655,1
1236655,2
1236727,1
1236727,6
1236727,2
1236828,1
1236828,2
1236829,1
1236829,2
1236830,3
1236830,1
1236830,2
1238086,1
1238086,2
1238087,1
1238087,2
1238087,5
1238088,2
1238089,2
1238092,3
1238092,2
1238093,2
1238094,1
1238094,2
1238740,1
1238740,2
1238741,1
1238741,2
1238742,3
1238742,1
1238742,2
1238991,3
1238991,1
1238991,2
1238992,3
1238992,1
1238992,2
1238993,3
1238993,1
1238993,2
1239448,3
1239448,1
1239448,2
1240499,1
1240499,2
1240529,1
1240529,2
1240567,1
1240567,2
1241116,2
1241117,1
1241117,2
1241117,5
1241120,1
1241120,2
1241141,1
1241141,2
1241142,2
1241143,2
1241144,3
1241144,2
1241342,1
1241342,2
1241344,2
1241400,1
1241400,2
1241620,1
1241620,2
1241636,3
1241636,1
1241636,2
1241637,1
1241637,2
1241638,3
1241638,1
1241638,2
1241639,1
1241639,2
1241640,1
1241640,3
1241640,6
1241640,2
1241641,3
1241641,1
1241641,2
1241642,1
1241642,2
1242553,1
1242553,2
1242554,1
1242554,2
1242555,1
1242555,2
1242573,1
1242573,2
1242574,1
1242574,2
1244067,1
1244067,2
1244068,1
1244068,2
1244069,1
1244069,2
1244070,3
1244070,1
1244070,2
1244071,1
1244071,2
1244072,3
1244072,1
1244072,2
1244073,1
1244073,2
1258242,1
1258242,4
1258273,1
1258273,2
1258327,1
1258327,2
1258328,1
1258328,2
1258329,1
1258329,2
1258363,2
1258363,4
1258364,2
1258364,4
1258365,1
1258365,2
1258389,2
1258390,2
1258391,2
1258391,4
1258489,2
1258520,2
1258528,2
1258529,1
1258529,2
1258572,2
1258575,2
1258575,4
1258576,2
1258629,1
1258629,2
1258629,4
1258743,1
1258743,4
1258947,1
1258947,2
1258948,1
1258948,2
1258949,1
1258949,2
1258950,1
1258950,2
1258951,1
1258951,2
1258952,1
1258952,2
1259011,1
1259011,2
1259080,1
1259080,2
1259102,1
1259102,2
1259103,2
1259103,4
1259148,2
1259926,2
1259983,2
1259984,1
1259984,2
1259985,1
1259985,2
1260667,1
1260667,2
1260827,1
1260827,2
1261592,1
1261592,2
1263055,1
1263055,2
1263265,1
1263265,2
1263600,1
1263600,2
1263601,1
1263601,2
1263840,1
1263840,2
1264269,3
1264269,1
1264269,2
1236648,3
1236648,2
1237024,3
1237024,2
1237025,3
1237025,2
1237027,2
1237295,3
1237295,2
1237296,3
1237296,2
1237297,3
1237297,2
1237298,3
1237298,2
1237299,3
1237299,2
1237300,3
1237300,2
1237310,3
1237310,2
1238060,3
1238060,2
1238103,3
1238103,2
1238109,3
1238109,2
1238111,2
1238119,3
1238119,2
1238133,3
1238133,2
1238277,3
1238277,2
1238278,3
1238278,2
1238279,3
1238280,3
1238280,2
1238281,3
1238281,2
1238282,3
1238282,2
1238283,3
1238283,2
1238284,3
1238284,2
1242741,2
1242742,5
1242853,2
1243181,2
1243221,5
1243222,2
1243223,5
1243224,5
1243225,5
1243240,5
1243250,2
1244272,5
1244272,2
1244273,5
1244273,2
1244274,5
1244275,5
1244276,5
1244277,2
1244278,5
1244279,5
1244280,2
1244281,5
1244282,2
1244283,5
1244284,2
1244285,5
1244286,5
1244287,5
1244288,5
1244288,2
1244289,5
1244290,5
1244291,5
1244292,2
1244293,5
1244293,2
1244294,5
1244295,2
1244296,5
1245338,5
1245339,5
1245340,5
1245341,5
1245342,5
1245343,5
1245344,5
1245345,5
1245347,5
1245348,2
1245431,2
1245432,2
1245433,2
1245434,2
1245435,2
1245437,2
1245438,5
1245439,2
1245440,2
1245441,5
1245442,2
1245443,1
1245443,2
1245444,2
1245445,2
1245446,1
1245446,2
1245447,2
1245448,2
1245449,2
1245450,1
1245450,2
1245451,2
1245452,2
1245453,2
1274530,2
1274833,2
1274834,2
1275885,2
1275886,3
1275886,2
1275887,3
1275888,2
1275889,2
1275890,2
1275891,2
1235285,3
1235285,1
1235285,2
1235379,5
1235379,3
1235379,2
1235380,5
1235380,3
1235380,2
1235771,1
1235771,2
1235877,3
1235877,2
1235974,3
1235974,2
1235975,2
1235976,1
1235976,4
1236004,3
1236004,1
1236004,2
1239442,3
1239442,2
1239446,3
1239446,2
1239453,3
1239453,2
1239457,3
1239457,2
1239459,3
1239459,2
1241054,3
1241054,2
1241104,3
1241104,2
1241106,3
1241106,2
1234088,6
1234088,1
1234088,2
1234218,1
1234218,2
1234219,2
1234343,1
1234343,2
1234788,6
1234788,2
1234789,2
1234789,4
1234798,2
1234799,1
1234799,2
1235122,1
1235122,2
1235123,1
1235123,2
1235123,4
1235124,1
1235124,2
1235125,1
1235125,2
1235125,4
1235126,2
1235126,4
1235130,2
1235131,1
1235131,2
1235132,1
1235132,2
1235133,1
1235133,2
1235134,1
1235134,2
1235153,1
1235153,2
1235154,1
1235154,2
1235155,1
1235155,2
1235156,1
1235156,2
1235167,2
1235426,2
1235427,1
1235427,2
1235428,2
1235429,2
1235473,1
1235473,2
1235474,2
1235482,1
1235482,2
1235483,1
1235483,2
1235496,2
1235497,1
1235497,2
1235498,1
1235498,2
1235514,1
1235514,2
1235517,1
1235517,2
1235521,1
1235521,2
1235527,2
1235528,2
1235529,2
1235535,1
1235535,2
1235540,1
1235540,2
1235555,2
1235564,2
1235568,1
1235568,2
1235569,1
1235569,2
1235570,1
1235570,2
1235571,1
1235571,2
1235572,2
1235573,2
1235574,2
1235575,1
1235575,2
1235803,1
1235803,2
1235804,2
1235805,1
1235805,2
1235807,2
1235807,4
1235809,2
1235811,1
1235811,2
1235818,2
1235831,2
1235832,2
1235834,2
1235835,1
1235835,2
1235835,4
1235838,1
1235838,2
1235841,3
1235841,2
1235845,1
1235845,2
1235849,2
1235850,2
1235859,2
1235861,2
1235863,2
1235864,1
1235864,2
1235865,2
1235866,2
1235867,1
1235867,2
1235868,1
1235868,2
1235869,1
1235869,2
1235870,1
1235870,2
1235871,1
1235871,2
1235872,1
1235872,2
1235873,1
