record_id,id
1234175,1
1234175,2
1234175,3
1234175,4
1234175,5
1234175,6
1234300,1
1234301,1
1234301,5
1235047,1
1235047,2
1235047,3
1235047,4
1235047,5
1235047,6
1235048,4
1235048,7
1235049,2
1235049,4
1235049,7
1235373,7
1235374,4
1235374,7
1235374,1
1235375,4
1235375,2
1235375,7
1235376,4
1235376,1
1235414,7
1235415,7
1235416,7
1235417,7
1235418,7
1235419,7
1235420,2
1235420,4
1235421,7
1235422,7
1235423,7
1235424,4
1235424,7
1235425,2
1235425,4
1235425,7
1235460,1
1235460,3
1235460,7
1235461,7
1235462,1
1235462,7
1235463,1
1235463,2
1235463,4
1235464,1
1235464,2
1235464,3
1235464,4
1235464,7
1235464,6
1235465,1
1235465,2
1235465,3
1235465,4
1235465,7
1235465,6
1235466,1
1235466,2
1235467,3
1235467,7
1235468,1
1235468,4
1235468,7
1235469,1
1235469,2
1235470,1
1235470,4
1235470,7
1235471,2
1235471,1
1235471,4
1235471,7
1235566,4
1235567,2
1235772,4
1235772,7
1235772,6
1235772,1
1235773,4
1235773,2
1235773,1
1235773,7
1235774,4
1235774,7
1235775,4
1235775,6
1235775,7
1235776,4
1235776,6
1235776,7
1235777,4
1235777,2
1235777,7
1235778,4
1235778,7
1235779,4
1235779,6
1235779,1
1235779,7
1235780,4
1235780,7
1235780,2
1235780,6
1235780,1
1235781,4
1235781,7
1235781,2
1235781,6
1235781,1
1235782,4
1235782,2
1235782,7
1235783,1
1235783,4
1235783,7
1235784,4
1235784,7
1235785,4
1235785,7
1235786,7
1235787,1
1235787,2
1235787,7
1235788,2
1235788,4
1235788,7
1235789,1
1235789,4
1235789,7
1235790,1
1235790,4
1235790,7
1235791,1
1235791,4
1235791,7
1235792,7
1235793,2
1235793,1
1235793,4
1235793,7
1235794,2
1235794,3
1235795,1
1235795,2
1235795,3
1235795,7
1235796,1
1235797,2
1235797,3
1235797,7
1235798,2
1235798,3
1235799,1
1235799,2
1235799,4
1235799,7
1235800,1
1235800,7
1235801,1
1235801,2
1235801,3
1235801,4
1235802,2
1235802,7
1235814,1
1235814,2
1235814,4
1235815,2
1235815,1
1235816,4
1235816,7
1235997,4
1235997,2
1235997,7
1235998,4
1235998,6
1235998,7
1235999,4
1235999,7
1236000,4
1236000,7
1236000,2
1236000,6
1236000,1
1236001,4
1236001,2
1236001,6
1236572,4
1236572,7
1236573,2
1236573,1
1236573,4
1236573,7
1236574,2
1236574,4
1236574,7
1236575,2
1236575,4
1236575,7
1236576,2
1236576,4
1236576,7
1236577,2
1236577,4
1236577,7
1236578,2
1236578,3
1236578,4
1236578,7
1236579,1
1236579,2
1236579,4
1236579,7
1236580,2
1236580,4
1236580,7
1236649,2
1236649,4
1236649,7
1236650,1
1236650,2
1236650,4
1236650,7
1236655,1
1236727,4
1236727,6
1236727,7
1236828,1
1236828,2
1236829,1
1236829,4
1236830,1
1236830,2
1236830,4
1236830,7
1238086,1
1238087,1
1238087,3
1238087,4
1238088,1
1238089,1
1238089,2
1238092,1
1238092,6
1238093,1
1238093,2
1238093,4
1238094,2
1238094,4
1238094,7
1238740,4
1238740,7
1238740,2
1238740,3
1238740,1
1238741,4
1238741,7
1238741,2
1238741,1
1238742,2
1238742,6
1238991,2
1238991,6
1238991,1
1238992,2
1238992,6
1238993,2
1238993,1
1239448,2
1239448,6
1239448,3
1239448,1
1240499,4
1240499,6
1240499,7
1240529,4
1240529,1
1240567,4
1241116,1
1241117,1
1241117,3
1241120,1
1241120,2
1241120,3
1241120,4
1241120,7
1241120,6
1241141,8
1241142,1
1241142,4
1241143,1
1241143,2
1241143,4
1241143,7
1241144,5
1241342,1
1241344,1
1241400,4
1241400,3
1241620,4
1241620,2
1241636,4
1241636,7
1241636,2
1241636,6
1241636,1
1241637,4
1241637,7
1241637,2
1241637,6
1241637,1
1241638,4
1241638,7
1241638,2
1241638,1
1241639,4
1241639,2
1241639,6
1241639,7
1241640,4
1241640,7
1241640,2
1241640,1
1241641,4
1241641,7
1241641,2
1241641,1
1241642,2
1241642,6
1241642,7
1242553,4
1242553,2
1242553,6
1242553,7
1242554,4
1242554,2
1242554,6
1242554,7
1242555,4
1242555,7
1242555,6
1242555,1
1242573,4
1242573,2
1242573,6
1242573,7
1242574,4
1242574,7
1242574,2
1242574,6
1242574,1
1244067,4
1244067,2
1244067,7
1244068,2
1244068,6
1244068,7
1244069,4
1244069,2
1244069,6
1244069,7
1244070,4
1244070,2
1244070,6
1244070,1
1244071,4
1244071,7
1244072,4
1244072,7
1244072,1
1244073,2
1244073,6
1244073,7
1244073,1
1258242,4
1258242,7
1258273,1
1258273,2
1258273,3
1258273,4
1258273,7
1258273,6
1258327,1
1258328,4
1258329,6
1258363,4
1258363,7
1258364,4
1258364,7
1258365,1
1258365,4
1258389,1
1258389,4
1258390,4
1258390,7
1258391,4
1258391,7
1258489,1
1258489,7
1258520,4
1258528,4
1258528,7
1258529,4
1258529,7
1258572,1
1258572,7
1258575,1
1258575,4
1258576,4
1258576,7
1258629,1
1258629,7
1258694,1
1258694,4
1258743,1
1258743,4
1258947,2
1258948,1
1258949,1
1258950,1
1258951,1
1258952,1
1259011,1
1259080,2
1259101,1
1259101,4
1259102,1
1259102,7
1259103,4
1259103,7
1259148,1
1259148,4
1259148,7
1259926,1
1259926,4
1259926,7
1259983,4
1259983,7
1259984,4
1259984,7
1259985,3
1259985,4
1259985,7
1260667,4
1260667,7
1260827,6
1260827,3
1260827,1
1261592,4
1261592,2
1261592,1
1263055,4
1263055,2
1263055,1
1263265,4
1263265,2
1263265,1
1263600,4
1263600,1
1263601,4
1263601,1
1263840,4
1263840,6
1263840,1
1264269,4
1264269,6
1264269,3
1264269,1
1236648,2
1237024,9
1237024,10
1237025,9
1237025,10
1237027,9
1237027,10
1237295,9
1237295,10
1237296,9
1237296,10
1237297,9
1237297,10
1237298,9
1237298,10
1237299,9
1237299,10
1237300,9
1237300,10
1237310,10
1238060,9
1238060,10
1238060,6
1238103,10
1238109,9
1238109,10
1238111,10
1238119,9
1238119,10
1238133,9
1238133,10
1238277,9
1238277,10
1238278,9
1238278,10
1238279,11
1238279,9
1238279,12
1238279,10
1238280,9
1238281,10
1238282,9
1238282,12
1238282,10
1238283,9
1238284,11
1238284,9
1238284,12
1238284,10
1242741,13
1242741,9
1242742,6
1242853,9
1243181,9
1243181,6
1243221,9
1243221,6
1243222,9
1243223,9
1243224,11
1243224,9
1243224,6
1243225,9
1243240,10
1243250,9
1243250,6
1244272,12
1244272,10
1244273,12
1244274,12
1244275,10
1244276,12
1244276,10
1244277,11
1244277,9
1244277,12
1244277,6
1244278,12
1244278,10
1244279,10
1244280,12
1244280,10
1244281,12
1244281,10
1244282,12
1244282,10
1244283,10
1244284,12
1244284,10
1244284,13
1244285,12
1244285,10
1244286,9
1244286,12
1244286,10
1244287,10
1244288,12
1244288,10
1244289,10
1244290,12
1244290,10
1244291,12
1244292,9
1244292,12
1244292,10
1244293,10
1244294,12
1244294,10
1244295,9
1244295,12
1244295,10
1244296,12
1244296,10
1245338,9
1245339,9
1245340,9
1245341,9
1245342,12
1245342,6
1245343,9
1245344,9
1245345,9
1245347,9
1245347,6
1245348,12
1245348,9
1245348,6
1245431,6
1245431,10
1245432,6
1245432,10
1245433,9
1245433,12
1245433,10
1245433,6
1245433,13
1245434,10
1245434,13
1245435,9
1245435,12
1245435,10
1245435,6
1245435,13
1245437,9
1245437,10
1245437,12
1245437,6
1245438,9
1245438,6
1245440,12
1245440,6
1245440,10
1245441,9
1245441,10
1245441,12
1245441,6
1245441,13
1245442,9
1245444,9
1245444,10
1245444,12
1245444,6
1245444,13
1245445,10
1245445,12
1245445,6
1245445,13
1245446,12
1245446,10
1245446,13
1245447,9
1245447,10
1245447,12
1245447,6
1245449,11
1245449,6
1245449,10
1245450,9
1245450,10
1245450,12
1245450,6
1245450,13
1245451,11
1245451,9
1245451,12
1245451,10
1245452,9
1245452,10
1245453,9
1245453,10
1245453,12
1245453,6
1245453,13
1274530,9
1274833,9
1274833,6
1274833,10
1274834,9
1274834,6
1275885,9
1275886,6
1275887,6
1275888,6
1275889,6
1275890,6
1275891,6
1235285,14
1235285,15
1235379,14
1235379,15
1235380,15
1235771,14
