record_id,id
1234175,1
1234300,2
1234301,3
1235047,3
1235047,2
1235048,3
1235048,4
1235049,3
1235049,4
1235049,5
1235373,3
1235374,4
1235375,5
1235375,4
1235376,4
1235376,2
1235414,3
1235415,3
1235416,3
1235417,3
1235418,3
1235419,3
1235420,4
1235420,5
1235421,3
1235422,3
1235423,3
1235424,3
1235424,4
1235425,4
1235425,3
1235425,5
1235460,3
1235461,3
1235462,3
1235462,2
1235463,2
1235464,3
1235465,3
1235465,6
1235465,5
1235466,5
1235466,2
1235467,3
1235468,3
1235469,2
1235470,3
1235471,3
1235471,5
1235566,4
1235567,5
1235772,3
1235773,4
1235773,3
1235774,3
1235775,4
1235775,3
1235776,3
1235777,3
1235778,3
1235779,4
1235779,3
1235780,4
1235781,5
1235781,4
1235782,3
1235783,3
1235784,3
1235785,3
1235786,3
1235787,3
1235788,4
1235788,3
1235789,3
1235790,3
1235790,4
1235791,3
1235791,4
1235792,3
1235793,4
1235793,3
1235793,5
1235794,6
1235794,5
1235795,3
1235795,5
1235795,2
1235796,2
1235797,3
1235797,6
1235797,5
1235798,6
1235798,5
1235799,4
1235799,3
1235800,2
1235801,4
1235801,6
1235801,5
1235801,2
1235802,5
1235802,3
1235814,4
1235814,5
1235814,2
1235815,5
1235815,2
1235816,3
1235997,3
1235998,7
1235999,4
1235999,3
1236000,4
1236001,7
1236001,5
1236001,4
1236572,3
1236573,4
1236573,3
1236574,3
1236575,4
1236575,3
1236576,3
1236576,4
1236576,5
1236577,4
1236577,3
1236578,3
1236578,4
1236579,4
1236579,3
1236580,3
1236580,5
1236649,5
1236650,3
1236650,4
1236650,5
1236655,2
1236727,4
1236727,3
1236828,5
1236828,2
1236829,4
1236829,2
1236830,3
1236830,4
1236830,2
1238086,2
1238087,4
1238087,6
1238087,2
1238088,2
1238089,2
1238092,7
1238092,2
1238093,4
1238093,2
1238094,3
1238094,4
1238094,5
1238740,4
1238741,3
1238742,5
1238742,7
1238991,7
1238992,7
1238993,5
1238993,2
1239448,1
1240499,7
1240499,4
1240499,3
1240529,1
1240567,4
1241116,2
1241117,6
1241117,2
1241120,1
1241141,8
1241142,4
1241142,2
1241143,4
1241143,5
1241144,3
1241342,2
1241344,2
1241400,4
1241400,6
1241620,5
1241620,4
1241636,7
1241636,4
1241636,2
1241637,7
1241637,5
1241637,2
1241638,5
1241638,4
1241638,3
1241638,2
1241639,5
1241639,7
1241639,3
1241640,5
1241640,4
1241640,3
1241641,4
1241641,3
1241642,7
1241642,3
1242553,7
1242553,4
1242553,3
1242554,4
1242554,3
1242555,4
1242555,3
1242555,2
1242573,7
1242573,4
1242573,3
1242574,4
1242574,3
1244067,3
1244068,7
1244068,3
1244069,3
1244070,5
1244070,7
1244070,4
1244071,4
1244071,3
1244072,4
1244072,3
1244072,2
1244073,3
1258242,3
1258242,4
1258273,1
1258327,2
1258328,4
1258329,7
1258363,3
1258363,4
1258364,3
1258364,4
1258365,4
1258365,2
1258389,4
1258389,2
1258390,3
1258390,4
1258391,3
1258391,4
1258489,3
1258489,2
1258520,4
1258528,3
1258528,4
1258529,3
1258529,4
1258572,3
1258572,2
1258575,4
1258575,2
1258576,3
1258576,4
1258629,3
1258629,2
1258694,4
1258694,2
1258743,4
1258743,2
1258947,5
1258948,2
1258949,2
1258950,2
1258951,2
1258952,2
1259011,2
1259080,5
1259101,4
1259101,2
1259102,3
1259102,2
1259103,3
1259103,4
1259148,3
1259148,4
1259148,2
1259926,3
1259926,4
1259926,2
1259983,3
1259983,4
1259984,3
1259984,4
1259985,4
1259985,3
1259985,6
1260667,3
1260667,4
1260827,6
1260827,7
1260827,2
1261592,4
1263055,4
1263265,4
1263600,4
1263601,4
1263601,2
1263840,7
1263840,4
1263840,2
1264269,4
1264269,6
1264269,2
1236648,5
1237024,1
1237025,1
1237027,9
1237295,10
1237296,10
1237297,10
1237298,10
1237299,10
1237300,10
1237300,9
1237310,10
1238060,10
1238060,9
1238103,10
1238109,1
1238111,10
1238119,10
1238133,10
1238277,1
1238278,1
1238279,11
1238280,9
1238281,10
1238282,1
1238283,9
1238284,9
1242741,9
1242742,7
1242853,9
1243181,9
1243181,7
1243221,9
1243221,7
1243222,9
1243223,9
1243224,9
1243224,7
1243224,12
1243225,9
1243240,1
1243250,9
1243250,7
1244272,1
1244273,1
1244274,1
1244275,1
1244276,1
1244277,1
1244278,1
1244279,1
1244280,10
1244280,11
1244281,1
1244282,10
1244282,11
1244283,1
1244284,10
1244284,13
1244284,11
1244285,1
1244286,1
1244287,10
1244288,10
1244288,11
1244289,1
1244290,1
1244290,10
1244291,1
1244292,1
1244293,10
1244294,1
1244295,10
1244295,11
1244295,9
1244296,10
1244296,11
1245338,9
1245339,9
1245340,9
1245341,9
1245342,1
1245343,9
1245344,9
1245345,9
1245347,9
1245347,7
1245348,9
1245348,7
1245348,11
1245431,7
1245431,10
1245432,7
1245432,10
1245433,1
1245434,10
1245434,13
1245435,1
1245437,1
1245438,7
1245438,9
1245439,1
1245440,1
1245441,13
1245441,11
1245441,9
1245441,7
1245441,10
1245442,9
1245443,1
1245444,7
1245445,1
1245446,10
1245446,13
1245446,11
1245447,7
1245448,1
1245449,1
1245450,1
1245451,10
1245452,10
1245453,7
1274530,9
1274833,7
1274834,7
1274834,9
1275885,9
1275886,7
1275887,7
1275888,7
1275889,7
1275890,7
1275891,7
1235285,14
1235379,14
1235380,14
1235771,14
1235877,14
1235974,14
1235975,1
1235976,7
1235976,14
1235976,15
1236004,14
1236386,1
1236387,1
1236388,9
1236389,3
1236390,1
1236391,3
1236408,3
1236410,15
1236634,3
1236640,3
1236642,3
1236644,3
1239442,14
1239446,14
1239446,15
1239453,14
1239457,14
1239459,14
1241054,14
1241104,14
1241106,14
1246369,1
1246764,1
1234088,9
1234088,7
1234088,16
1234088,2
1234218,1
1234219,1
1234343,9
1234343,7
1234788,9
1234788,17
1234789,9
1234789,17
1234789,18
1234789,2
1234798,9
1234799,9
1234799,2
1235122,9
1235122,17
1235122,7
1235122,2
1235123,9
1235123,7
1235123,2
1235124,9
1235124,7
1235124,16
1235124,12
1235124,2
1235125,3
1235125,9
1235125,7
1235125,12
1235125,2
1235126,9
1235126,17
1235126,2
1235130,7
1235131,7
1235131,18
1235131,2
1235132,7
1235132,18
1235133,18
1235134,3
1235134,9
1235134,17
1235134,7
1235134,18
1235134,2
1235153,18
1235154,18
1235155,9
1235155,7
1235155,18
1235155,2
1235156,2
1235167,9
1235167,2
1235426,9
1235427,9
1235428,9
1235429,9
1235429,2
1235473,9
1235473,7
1235474,7
1235474,18
1235482,9
1235482,2
1235483,9
1235483,7
1235483,18
1235496,7
1235496,18
1235497,9
1235497,7
1235497,2
1235498,9
1235498,7
1235498,18
1235514,9
1235514,7
1235517,7
1235517,18
1235521,9
1235521,2
1235527,1
1235528,9
1235528,7
1235529,9
1235529,18
1235529,2
1235535,9
1235535,18
1235540,9
1235540,18
1235555,9
1235564,9
1235568,7
1235568,2
1235569,1
1235570,9
1235570,2
1235571,7
1235572,2
1235573,1
1235574,9
1235574,2
1235575,2
1235803,1
1235804,9
1235804,2
1235805,9
1235805,18
1235807,9
1235807,2
1235809,18
1235811,3
1235811,9
1235811,17
1235811,7
1235818,19
1235818,18
1235831,9
1235832,17
1235832,18
1235834,9
1235834,18
1235835,9
1235835,2
1235838,9
1235838,18
1235841,9
1235841,18
1235845,17
1235849,9
1235850,1
1235859,9
1235861,9
1235863,9
1235864,9
1235864,18
1235865,9
1235866,2
1235867,17
1235867,18
1235868,7
1235869,7
1235869,2
1235870,7
1235870,2
1235871,7
1235872,7
1235872,18
1235873,9
1235873,7
1235873,18
1235874,3
1235874,9
1235874,17
1235874,7
1235874,18
1235874,2
1235875,3
1235875,9
1235875,17
1235875,7
1235875,18
1235875,2
1235987,18
1235987,2
1235988,1
1236706,9
1235508,3
1235508,7
1235515,3
1235515,6
1235516,3
1235522,16
1235522,17
1235522,2
1235523,16
1235523,2
1235524,16
1235524,6
1235524,8
1235524,2
1235525,16
1235525,7
1235525,2
1235526,16
1235526,8
1235530,3
1235530,6
1235531,1
1235565,16
1235565,6
1235565,8
1235565,2
1235592,16
1235592,2
1235593,8
1235593,17
1235593,2
1235600,16
1235600,7
1235600,6
1235806,6
1235808,7
1235812,3
1235817,3
1235819,3
1235819,7
1235820,3
1235820,8
1235820,17
1235820,7
1235820,6
1235821,3
1235821,7
1235821,6
1235822,3
1235822,7
1235822,17
1235823,16
1235824,6
1235824,8
1235825,6
1235825,8
1235825,3
1235826,6
1235826,2
1235827,16
1235827,6
1235828,3
1235830,16
1235830,8
1235830,17
1235830,2
1235833,3
1235833,8
1235833,7
1235833,2
1235839,8
1235839,6
1235840,3
1235840,8
1235840,6
1235842,16
1235842,7
1235843,3
1235843,8
1235843,6
1235844,8
1235846,3
1235846,8
1235846,6
1235847,6
1235847,8
1235851,3
1235851,6
1235852,3
1235853,3
1235853,8
1235853,7
1235854,3
1235855,7
1235855,16
1235855,2
1235856,3
1235856,17
1235856,7
1235857,3
1235857,7
1235857,6
1235858,17
1235858,6
1235860,16
1235860,6
1235862,16
1235862,7
1235862,6
1235862,2
1235876,7
1235876,16
1235876,6
1235878,16
1235878,6
1235878,8
1235981,3
1235981,7
1235981,6
1235982,1
1235983,3
1235983,7
1235983,20
1235983,6
1235983,2
1235993,17
1235993,7
1235993,2
1235994,6
1235994,21
1235994,8
1235995,6
1235995,3
1235995,2
1235996,6
1235996,21
1235996,8
1236013,16
1236013,7
1236013,2
1236014,16
1236014,6
1236014,8
1236014,17
1236014,2
1236035,18
1236035,8
1236229,3
1236229,8
1236360,8
1236360,7
1236360,6
1237023,16
1237035,8
1237035,6
1237035,21
1237860,7
1237860,16
1237861,7
1237862,7
1237862,16
1237863,7
1237864,16
1237865,7
1237866,3
1237866,7
1237866,16
1237867,7
1237868,7
1237869,7
1237870,7
1237871,7
1237871,16
1237872,7
1237873,7
1237874,3
1237874,7
1237875,7
1237876,7
1237876,16
1237877,7
1237877,16
1237878,7
1237878,16
1237879,7
1237879,16
1237880,7
1237880,16
1237881,7
1237882,3
1237882,17
1237882,7
1237883,7
1237883,16
1237884,3
1237884,7
1237886,3
1237886,7
1238048,16
1238048,6
1238048,21
1238049,8
1238049,21
1238053,8
1238053,16
1238053,21
1238057,8
1238057,17
1238057,2
1238058,21
1238058,2
1238062,3
1238062,21
1238063,8
1238063,16
1238063,21
1238064,3
1238064,8
1238064,16
1238064,6
1238464,8
1238466,16
1238487,16
1238488,8
1238488,16
1238524,16
1238735,16
1238736,16
1238736,6
1238737,8
1239305,3
1239305,17
1239305,21
1239306,3
1239306,16
1239306,6
1239307,3
1239307,16
1239307,21
1239308,8
1239308,7
1239308,16
1239308,6
1239335,6
1239335,2
1239337,8
1239340,16
1239433,8
1239433,6
1239434,16
1240427,7
1240427,16
1240506,3
1240506,8
1240506,16
1240506,6
1240507,3
1240507,16
1240507,6
1241122,3
1241122,8
1241122,7
1241122,16
1241123,8
1241123,17
1241123,21
1241135,3
1241135,6
1241136,8
1241136,6
1241136,21
1241137,3
1241137,8
1241137,7
1241137,16
1241138,16
1241138,21
1241139,3
1241139,16
1241139,6
1241140,3
1241140,16
1241140,6
1242109,3
1242109,7
1242109,16
1242562,7
1242562,6
1242941,7
1242941,16
1242942,7
1242942,16
1243174,8
1243174,6
1243174,21
1250985,8
1250986,8
1250986,7
1250986,2
1288416,16
1288417,16
1313985,6
1313986,7
1313986,2
1313987,16
1313987,6
1313988,7
1313988,2
1313989,2
1313990,7
1313990,2
1313991,16
1313991,6
1313992,7
1313992,2
1314044,6
1314045,16
1314045,6
1314053,16
