record_id,id
1234175,1
1234300,2
1234300,3
1234301,2
1234301,4
1234301,5
1234301,3
1235047,1
1235048,2
1235048,5
1235048,3
1235049,2
1235049,4
1235049,5
1235049,3
1235049,6
1235373,3
1235374,7
1235375,8
1235375,3
1235375,4
1235375,6
1235376,3
1235376,2
1235414,2
1235414,5
1235414,3
1235415,2
1235415,5
1235415,3
1235416,3
1235417,2
1235417,4
1235417,5
1235417,3
1235418,5
1235418,3
1235419,2
1235419,4
1235419,5
1235419,3
1235420,2
1235420,4
1235420,5
1235420,3
1235421,2
1235421,4
1235421,3
1235422,2
1235422,5
1235422,3
1235423,2
1235423,3
1235424,2
1235424,4
1235424,5
1235424,3
1235425,2
1235425,4
1235425,5
1235425,3
1235460,1
1235461,1
1235462,5
1235463,1
1235464,1
1235464,9
1235465,1
1235466,1
1235467,5
1235468,1
1235469,1
1235470,5
1235471,1
1235566,5
1235567,5
1235567,1
1235772,3
1235773,5
1235773,2
1235774,5
1235775,5
1235775,3
1235775,2
1235775,8
1235776,5
1235777,5
1235777,8
1235778,7
1235779,2
1235779,6
1235780,5
1235780,2
1235781,5
1235781,2
1235781,3
1235781,6
1235782,5
1235782,2
1235783,2
1235783,5
1235783,3
1235784,2
1235784,4
1235784,5
1235784,3
1235785,2
1235785,5
1235785,3
1235786,2
1235786,4
1235786,5
1235786,3
1235787,2
1235787,5
1235787,3
1235788,2
1235788,4
1235788,5
1235788,3
1235789,2
1235789,5
1235789,3
1235790,2
1235790,5
1235790,3
1235791,2
1235791,4
1235791,5
1235791,3
1235792,2
1235792,4
1235792,5
1235792,3
1235792,6
1235793,2
1235793,4
1235793,5
1235793,3
1235794,2
1235794,1
1235794,6
1235795,2
1235795,1
1235795,4
1235795,3
1235795,6
1235796,2
1235796,1
1235796,5
1235796,3
1235797,1
1235798,1
1235798,9
1235799,2
1235799,5
1235799,3
1235800,1
1235801,2
1235801,1
1235801,3
1235801,9
1235802,5
1235802,2
1235814,2
1235814,1
1235814,3
1235815,2
1235815,1
1235815,3
1235816,5
1235816,2
1235816,3
1235816,4
1235997,3
1235998,3
1235998,2
1235998,1
1235999,3
1235999,1
1236000,3
1236000,2
1236000,10
1236001,3
1236001,1
1236572,2
1236572,4
1236572,5
1236572,3
1236573,2
1236573,4
1236573,5
1236573,3
1236574,2
1236574,4
1236574,5
1236574,3
1236575,2
1236575,4
1236575,5
1236575,3
1236576,2
1236576,4
1236576,5
1236576,3
1236577,2
1236577,4
1236577,5
1236577,3
1236578,2
1236578,4
1236578,5
1236578,3
1236579,2
1236579,4
1236579,5
1236579,3
1236580,2
1236580,4
1236580,5
1236580,3
1236649,2
1236649,3
1236650,2
1236650,5
1236650,3
1236655,5
1236655,1
1236727,2
1236727,1
1236828,2
1236828,5
1236828,3
1236829,2
1236829,5
1236830,2
1236830,4
1236830,5
1236830,3
1238086,1
1238087,2
1238087,1
1238087,5
1238087,3
1238088,1
1238089,2
1238089,1
1238089,4
1238089,3
1238092,1
1238093,7
1238094,1
1238740,3
1238741,11
1238742,5
1238742,3
1238742,2
1238742,6
1238991,5
1238991,2
1238992,3
1238993,2
1238993,1
1238993,8
1238993,4
1238993,6
1238993,5
1238993,3
1239448,5
1239448,3
1239448,1
1240499,3
1240499,5
1240499,2
1240529,5
1240567,6
1241116,4
1241117,2
1241120,1
1241141,2
1241141,5
1241142,2
1241142,3
1241143,2
1241143,5
1241143,3
1241144,4
1241144,5
1241342,5
1241342,1
1241344,2
1241344,5
1241344,3
1241400,2
1241400,1
1241400,11
1241400,6
1241400,5
1241400,3
1241620,5
1241620,1
1241636,5
1241636,3
1241636,2
1241637,2
1241637,1
1241637,8
1241637,3
1241638,5
1241638,3
1241638,2
1241639,5
1241639,3
1241639,2
1241639,6
1241640,5
1241640,2
1241640,3
1241640,4
1241641,5
1241641,2
1241641,3
1241641,4
1241642,5
1241642,2
1241642,3
1241642,11
1242553,5
1242553,3
1242553,8
1242554,5
1242554,3
1242554,1
1242555,5
1242555,2
1242555,3
1242555,4
1242555,6
1242573,5
1242573,3
1242573,1
1242574,3
1242574,2
1242574,1
1244067,3
1244068,3
1244068,4
1244068,2
1244069,3
1244069,5
1244070,3
1244070,2
1244070,8
1244071,3
1244071,5
1244071,2
1244072,3
1244072,2
1244072,6
1244073,5
1244073,2
1244073,3
1244073,6
1258242,5
1258273,2
1258273,5
1258273,3
1258327,1
1258328,5
1258328,1
1258329,5
1258329,3
1258329,1
1258363,2
1258363,5
1258364,2
1258364,5
1258364,3
1258365,2
1258365,5
1258365,3
1258389,5
1258389,3
1258390,2
1258390,5
1258391,5
1258489,2
1258489,5
1258520,2
1258520,5
1258528,2
1258528,5
1258529,5
1258572,2
1258572,5
1258572,3
1258575,2
1258575,5
1258575,3
1258576,2
1258576,5
1258629,5
1258629,3
1258694,2
1258694,5
1258743,2
1258743,3
1258947,3
1258948,5
1258948,1
1258949,7
1258950,1
1258951,10
1258951,1
1258952,10
1258952,1
1259011,5
1259080,5
1259101,2
1259101,5
1259101,3
1259102,2
1259102,5
1259103,5
1259103,3
1259148,2
1259148,5
1259926,1
1259983,2
1259983,5
1259984,5
1259985,4
1259985,5
1260667,2
1260667,5
1260827,5
1261592,3
1263055,3
1263055,2
1263265,5
1263600,5
1263600,1
1263601,5
1263840,7
1264269,2
1264269,1
1264269,8
1264269,3
1264269,9
1236648,2
1236648,4
1236648,5
1236648,3
1237024,5
1237024,2
1237024,3
1237024,4
1237024,6
1237025,5
1237025,2
1237025,3
1237025,4
1237025,6
1237027,5
1237027,2
1237027,3
1237027,4
1237027,6
1237295,5
1237295,2
1237295,3
1237295,6
1237296,5
1237296,2
1237296,3
1237296,4
1237297,5
1237297,2
1237297,1
1237297,3
1237297,4
1237298,5
1237298,2
1237298,3
1237298,4
1237298,6
1237299,3
1237299,4
1237299,2
1237299,6
1237300,2
1237300,8
1237300,3
1237300,4
1237300,6
1237310,5
1237310,2
1237310,3
1237310,4
1237310,6
1238060,5
1238060,2
1238060,3
1238060,4
1238060,6
1238103,5
1238103,2
1238103,3
1238103,4
1238103,6
1238109,5
1238109,2
1238109,3
1238109,4
1238109,6
1238111,3
1238111,4
1238111,2
1238119,5
1238119,2
1238119,3
1238119,4
1238119,6
1238133,3
1238133,2
1238133,6
1238277,5
1238277,2
1238277,3
1238277,4
1238277,6
1238278,5
1238278,2
1238278,3
1238278,4
1238278,6
1238279,5
1238279,2
1238279,1
1238279,8
1238279,3
1238279,4
1238280,3
1238280,2
1238280,1
1238281,2
1238281,1
1238281,8
1238281,11
1238281,9
1238281,4
1238281,6
1238281,5
1238281,10
1238281,3
1238282,5
1238282,2
1238282,3
1238282,4
1238282,6
1238283,5
1238283,2
1238283,1
1238283,8
1238284,2
1238284,1
1238284,8
1238284,9
1238284,4
1238284,5
1238284,3
1242741,7
1242742,5
1242742,3
1242742,6
1242853,5
1242853,3
1243181,2
1243181,5
1243181,3
1243221,2
1243221,5
1243221,3
1243221,6
1243222,4
1243222,5
1243222,3
1243223,2
1243223,5
1243223,3
1243224,2
1243224,5
1243224,3
1243224,9
1243225,5
1243225,9
1243225,3
1243225,6
1243240,3
1243240,1
1243250,4
1243250,5
1243250,3
1243250,10
1244272,5
1244272,2
1244272,1
1244272,3
1244272,9
1244273,5
1244273,2
1244273,1
1244273,3
1244273,9
1244273,11
1244274,5
1244274,2
1244274,1
1244274,3
1244274,9
1244275,5
1244275,1
1244275,3
1244275,11
1244276,5
1244276,2
1244276,1
1244276,3
1244276,9
1244277,3
1244278,5
1244278,2
1244278,1
1244278,3
1244279,5
1244279,3
1244279,1
1244280,5
1244280,2
1244280,1
1244281,5
1244281,2
1244281,1
1244281,3
1244282,3
1244283,5
1244283,2
1244283,1
1244283,3
1244284,5
1244284,2
1244284,1
1244284,3
1244284,4
1244284,6
1244285,5
1244285,2
1244285,1
1244285,3
1244285,9
1244286,5
1244286,2
1244286,1
1244286,3
1244286,4
1244287,3
1244287,5
1244287,1
1244288,3
1244288,1
1244289,5
1244289,2
1244289,1
1244289,3
1244290,3
1244290,5
1244290,1
1244291,5
1244291,3
1244291,2
1244291,1
1244292,2
1244292,1
1244292,8
1244292,12
1244292,9
1244292,11
1244292,4
1244292,6
1244292,5
1244292,10
1244292,3
1244293,7
1244294,5
1244294,2
1244294,1
1244294,3
1244294,11
1244294,9
1244295,3
1244295,2
1244296,2
1244296,1
1244296,3
1244296,11
1245338,7
1245339,7
1245340,5
1245340,3
1245340,6
1245341,7
1245342,2
1245342,3
1245342,10
1245342,6
1245343,7
1245344,7
1245345,7
1245347,1
1245347,4
1245347,5
1245348,2
1245348,4
1245348,5
1245348,3
1245348,6
1245431,2
1245431,8
1245431,1
1245431,4
1245431,6
1245431,5
1245431,3
1245432,2
1245432,1
1245432,8
1245432,4
1245432,6
1245432,5
1245432,3
1245433,5
1245433,10
1245433,2
1245433,3
1245433,4
1245433,6
1245434,5
1245434,2
1245434,1
1245434,3
1245434,4
1245434,6
1245435,5
1245435,2
1245435,1
1245435,3
1245435,4
1245437,7
1245438,7
1245439,7
1245440,5
1245440,2
1245440,1
1245440,3
1245440,4
1245441,7
1245442,5
1245442,2
1245442,1
1245442,12
1245442,3
1245443,7
1245444,5
1245444,1
1245444,3
1245444,6
1245445,2
1245445,1
1245445,8
1245445,4
1245445,6
1245445,5
1245445,10
1245445,3
1245446,5
1245446,2
1245446,3
1245446,4
1245447,5
1245447,2
1245447,1
1245447,3
1245447,4
1245447,6
1245448,7
1245449,7
1245450,2
1245450,1
1245450,9
1245450,4
1245450,6
1245450,5
1245450,3
1245451,2
1245451,1
1245451,8
1245451,12
1245451,9
1245451,11
1245451,4
1245451,6
1245451,5
1245451,10
1245452,7
1245453,2
1245453,8
1245453,1
1245453,12
1245453,4
1245453,11
1245453,9
1245453,6
1245453,5
1245453,3
1274530,2
1274530,1
1274530,8
1274530,12
1274530,9
1274530,11
1274530,4
1274530,6
1274530,5
1274530,3
1274833,3
1274833,2
1274833,6
1274834,4
1274834,6
1275885,3
1275886,6
1275887,6
1275888,6
1275889,4
1275889,6
1275890,4
1275890,6
1275891,4
1275891,6
1235285,5
1235285,10
1235285,2
1235285,4
1235379,2
1235379,1
1235379,4
1235379,5
1235379,3
1235380,3
1235380,2
1235771,5
1235771,2
1235771,9
1235771,4
1235877,5
1235877,2
1235877,1
1235877,3
1235877,4
1235974,4
1235975,2
1235975,4
1235975,5
1235975,3
1235976,5
1236004,2
1236004,1
1236004,9
1236004,4
1236004,6
1236004,5
1236004,3
1236386,1
1236387,9
1236388,9
1236389,5
1236390,9
1236391,5
1236408,5
1236410,5
1236634,5
1236640,9
1236642,5
1236644,5
1239442,2
1239442,1
1239442,9
1239442,4
1239442,6
1239442,5
1239442,10
1239442,3
1239446,5
1239446,2
1239446,1
1239446,9
1239446,4
1239446,6
1239453,3
1239453,2
1239457,3
1239457,2
1239459,3
1241054,3
1241054,2
1241104,3
1241104,2
1241106,5
1241106,3
1241106,2
1246369,5
1246764,1
1234088,1
1234088,5
1234088,9
1234218,2
1234218,1
1234218,5
1234218,9
1234219,2
1234219,1
1234219,5
1234219,3
1234343,1
1234343,5
1234343,9
1234343,6
1234788,2
1234788,1
1234788,4
1234788,3
1234789,2
1234789,4
1234789,5
1234789,3
1234789,6
1234798,4
1234798,3
1234799,2
1234799,1
1234799,4
1234799,3
1235122,2
1235122,3
1235122,6
1235123,2
1235123,12
1235123,1
1235123,4
1235123,5
1235123,8
1235123,3
1235123,6
1235123,11
1235124,1
1235124,9
1235124,3
1235124,6
1235124,11
1235125,2
1235125,12
1235125,1
1235125,4
1235125,5
1235125,8
1235125,3
1235125,9
1235125,10
1235125,6
1235125,11
1235126,1
1235126,4
1235126,3
1235130,2
1235131,2
1235131,12
1235131,1
1235131,4
1235131,5
1235131,3
1235131,9
1235131,6
1235132,1
1235132,4
1235132,5
1235133,7
1235134,2
1235134,5
1235134,9
1235134,6
1235153,2
1235153,6
1235154,4
1235154,3
1235155,1
1235155,4
1235155,5
1235155,8
1235155,3
1235155,6
1235156,3
1235156,6
1235167,1
1235426,1
1235426,3
1235427,1
1235427,4
1235427,3
1235428,1
1235428,4
1235428,3
1235429,2
1235429,1
1235429,4
1235429,3
1235473,1
1235474,1
1235482,1
1235482,4
1235483,7
1235496,1
1235497,1
1235498,1
1235514,7
1235517,7
1235521,1
1235527,1
1235528,7
1235529,7
1235535,7
1235540,7
1235555,1
1235564,1
1235568,2
1235569,2
1235569,4
1235569,3
1235569,6
1235570,4
1235571,1
1235571,4
1235571,3
1235571,6
1235572,2
1235573,2
1235574,4
1235575,1
1235803,1
1235804,1
1235805,7
1235807,1
1235809,6
1235811,7
1235818,7
1235831,1
1235832,7
1235834,1
1235835,1
1235838,7
1235841,2
1235841,12
1235841,1
1235841,4
1235841,5
1235841,3
1235841,6
1235845,7
1235849,1
1235850,7
1235859,1
1235861,7
1235863,1
1235864,7
1235865,1
1235866,1
1235867,4
1235868,6
1235869,6
1235870,6
1235871,6
1235872,2
1235872,1
1235872,6
1235873,4
1235874,1
1235875,1
1235875,6
1235987,1
1235988,1
1236706,2
1236706,1
1236706,4
1236706,3
1235508,12
1235508,1
1235508,5
1235508,3
1235508,6
1235508,11
1235515,5
1235515,3
1235516,2
1235516,5
1235522,12
1235522,5
1235522,2
1235523,12
1235523,5
1235523,2
1235524,5
1235524,2
1235524,4
1235524,1
1235525,5
1235525,2
1235525,1
1235526,5
1235526,4
1235526,1
1235530,4
1235530,3
1235531,8
1235531,3
1235565,5
1235565,9
1235565,4
1235565,1
1235592,5
1235592,2
1235592,9
1235593,5
1235593,2
1235593,1
1235593,6
1235600,5
1235600,12
1235806,5
1235808,9
1235812,4
1235817,3
1235819,2
1235819,4
1235819,8
1235819,3
1235819,10
1235819,6
1235820,2
1235820,12
1235820,4
1235820,5
1235820,8
1235820,9
1235820,3
1235820,10
1235820,6
1235820,11
1235821,12
1235821,2
1235821,4
1235821,9
1235821,3
1235821,10
1235821,6
1235821,11
1235822,2
1235822,1
1235822,4
1235822,9
1235822,3
1235822,10
1235822,6
1235822,11
1235823,5
1235824,3
1235824,5
1235825,5
1235825,3
1235825,2
1235826,5
1235826,2
1235827,5
1235827,3
1235827,1
1235828,3
1235830,5
1235830,2
1235830,1
1235833,2
1235833,5
1235833,3
1235833,6
1235833,11
1235839,2
1235839,4
1235839,5
1235839,3
1235840,2
1235840,4
1235840,5
1235840,3
1235842,5
1235842,2
1235842,4
1235842,1
1235843,2
1235843,4
1235843,5
1235843,3
1235844,5
1235844,2
1235844,4
1235846,2
1235846,4
1235846,5
1235846,3
1235847,5
1235847,2
1235851,2
1235851,5
1235852,7
1235853,4
1235853,6
1235853,11
1235854,7
1235855,2
1235855,12
1235855,1
1235855,4
1235855,8
1235855,3
1235855,9
1235855,6
1235856,3
1235856,10
1235856,6
1235857,2
1235857,3
1235857,11
1235858,4
1235858,3
1235860,5
1235860,2
1235862,4
1235862,1
1235876,1
1235876,4
1235876,3
1235876,6
1235878,5
1235878,3
1235878,4
1235878,2
1235981,7
1235982,4
1235982,3
1235982,6
1235983,7
1235993,4
1235993,5
1235993,3
1235993,6
1235994,5
1235994,2
1235994,6
1235995,5
1235995,2
1235995,6
1235996,5
1235996,2
1236013,5
1236013,2
1236013,6
1236014,5
1236014,2
1236014,1
1236014,9
1236014,4
1236014,6
1236035,5
1236035,2
1236035,1
1236229,2
1236229,12
1236229,5
1236229,6
1236360,5
1236360,3
1237023,3
1237035,4
1237035,5
1237860,5
1237860,3
1237860,11
1237861,3
1237862,5
1237862,3
1237863,3
1237864,3
1237865,3
1237866,2
1237866,5
1237866,3
1237866,11
1237867,3
1237868,3
1237869,3
1237869,6
1237870,3
1237871,3
1237872,3
1237873,6
1237874,3
1237874,11
1237875,3
1237875,11
1237876,3
1237877,5
1237877,3
1237878,5
1237878,3
1237879,5
1237879,3
1237880,5
1237880,3
1237881,6
1237882,2
1237882,3
1237882,6
1237883,5
1237883,3
1237883,11
1237884,2
1237884,6
1237886,3
1238048,5
1238049,4
1238053,1
1238053,4
1238053,5
1238057,5
1238058,5
1238062,5
1238063,4
1238063,5
1238064,1
1238464,2
1238464,5
1238466,5
1238487,5
1238487,3
1238488,5
1238524,5
1238735,5
1238736,3
1238737,5
1239305,1
1239305,5
1239306,2
1239306,1
1239306,5
1239306,6
1239307,4
1239307,5
1239307,11
1239308,1
1239308,4
1239308,5
1239335,2
1239335,5
1239337,2
1239337,5
1239340,5
1239340,3
1239433,5
1239433,3
1239433,6
1239434,2
1239434,3
1240427,3
1240506,2
1240506,12
1240506,4
1240507,2
1240507,1
1240507,4
1241122,2
1241122,4
1241122,5
1241122,3
1241123,5
1241135,4
1241136,1
1241136,4
1241136,11
1241137,12
1241137,1
1241137,5
1241137,3
1241137,6
1241138,5
1241139,11
1241140,1
1241140,4
1241140,6
1241140,11
1242109,12
1242109,4
1242109,3
1242109,11
1242562,5
1242941,3
1242942,3
1243174,4
1243174,3
1250985,5
1250985,3
1250986,2
1250986,5
1288416,5
1288417,5
1313985,5
1313986,5
1313987,1
1313987,5
1313988,5
1313989,5
1313990,2
1313990,5
1313991,5
1313991,3
1313992,2
1313992,1
1314044,5
1314045,1
1314053,5
1314053,3
