record_id,id
1234175,1
1234300,2
1234300,3
1234301,3
1235047,4
1235047,2
1235047,3
1235048,3
1235049,4
1235049,2
1235049,3
1235373,3
1235373,4
1235374,3
1235374,4
1235375,2
1235375,3
1235376,3
1235414,1
1235415,4
1235415,3
1235416,3
1235417,2
1235417,3
1235418,3
1235419,3
1235420,4
1235420,2
1235421,3
1235422,4
1235422,2
1235422,3
1235423,4
1235423,2
1235423,3
1235424,2
1235424,3
1235425,2
1235425,3
1235460,3
1235461,3
1235462,3
1235463,1
1235464,4
1235465,4
1235465,2
1235465,5
1235466,1
1235467,3
1235468,3
1235469,1
1235470,2
1235470,3
1235471,2
1235471,3
1235566,1
1235567,2
1235772,1
1235773,1
1235774,1
1235775,2
1235775,3
1235776,3
1235777,2
1235777,3
1235778,1
1235779,6
1235780,1
1235781,2
1235782,3
1235783,3
1235784,3
1235785,3
1235786,4
1235786,2
1235786,3
1235787,1
1235788,4
1235788,2
1235788,3
1235789,3
1235790,2
1235790,3
1235791,4
1235791,2
1235791,3
1235792,4
1235792,2
1235792,3
1235793,4
1235793,2
1235793,3
1235794,2
1235794,6
1235795,1
1235796,1
1235797,4
1235797,3
1235798,2
1235799,4
1235799,2
1235799,3
1235800,2
1235801,6
1235801,3
1235802,2
1235814,2
1235814,3
1235815,3
1235816,2
1235816,3
1235816,4
1235997,2
1235997,3
1235998,2
1235999,2
1235999,3
1236000,1
1236001,2
1236572,1
1236573,2
1236573,3
1236574,2
1236574,3
1236575,3
1236576,4
1236576,3
1236577,4
1236577,2
1236577,3
1236578,2
1236578,3
1236579,1
1236580,4
1236580,3
1236649,2
1236649,5
1236649,3
1236650,4
1236650,6
1236650,3
1236655,2
1236655,3
1236655,4
1236727,3
1236727,4
1236828,3
1236829,2
1236829,3
1236830,2
1236830,3
1238086,4
1238086,3
1238087,4
1238087,2
1238087,3
1238088,4
1238088,2
1238088,3
1238089,3
1238092,1
1238093,2
1238093,3
1238094,2
1238094,6
1238094,3
1238740,3
1238741,2
1238741,3
1238741,4
1238742,3
1238991,1
1238992,1
1238993,2
1238993,3
1238993,4
1239448,4
1240499,3
1240499,4
1240529,6
1240567,6
1240567,3
1241116,1
1241117,2
1241117,3
1241120,4
1241120,2
1241141,4
1241141,2
1241141,3
1241142,3
1241143,1
1241144,2
1241144,3
1241342,5
1241342,4
1241344,1
1241400,3
1241620,3
1241636,3
1241636,2
1241636,5
1241636,4
1241637,2
1241637,3
1241638,3
1241639,6
1241639,3
1241639,4
1241640,2
1241640,3
1241640,4
1241641,2
1241641,3
1241642,6
1241642,3
1241642,4
1242553,2
1242553,4
1242554,2
1242554,3
1242555,3
1242555,7
1242555,4
1242573,1
1242574,3
1244067,3
1244067,4
1244068,1
1244069,7
1244069,3
1244069,4
1244070,1
1244071,2
1244071,3
1244071,4
1244072,2
1244072,3
1244073,4
1258242,2
1258242,3
1258273,1
1258327,2
1258328,3
1258328,4
1258329,3
1258363,1
1258364,4
1258364,2
1258364,3
1258365,4
1258389,2
1258390,2
1258390,3
1258391,5
1258391,3
1258489,1
1258520,1
1258528,6
1258529,4
1258529,5
1258529,3
1258572,4
1258572,3
1258575,4
1258575,3
1258576,4
1258576,3
1258629,2
1258629,3
1258694,1
1258743,3
1258947,3
1258948,1
1258949,3
1258949,5
1258949,4
1258950,3
1258951,4
1258952,5
1258952,6
1258952,3
1258952,4
1259011,3
1259080,2
1259080,3
1259101,1
1259102,1
1259103,6
1259103,3
1259148,4
1259148,6
1259148,5
1259148,3
1259926,4
1259926,3
1259983,4
1259983,5
1259983,3
1259984,6
1259984,3
1259985,4
1259985,6
1259985,5
1259985,3
1260667,4
1260667,6
1260667,3
1260827,2
1260827,3
1260827,4
1261592,1
1263055,3
1263265,2
1263265,3
1263600,3
1263601,3
1263840,3
1264269,6
1264269,3
1264269,4
1236648,1
1237024,4
1237025,1
1237027,1
1237295,1
1237296,1
1237297,1
1237298,3
1237298,4
1237299,1
1237300,3
1237310,1
1238060,1
1238103,3
1238109,1
1238111,4
1238119,1
1238133,1
1238277,6
1238278,1
1238279,1
1238280,2
1238281,2
1238281,3
1238282,2
1238283,2
1238283,3
1238284,3
1242741,1
1242742,1
1242853,1
1243181,1
1243221,1
1243222,1
1243223,1
1243224,1
1243225,1
1243240,2
1243240,3
1243240,4
1243250,1
1244272,1
1244273,1
1244274,1
1244275,1
1244276,1
1244277,1
1244278,1
1244279,1
1244280,1
1244281,1
1244282,3
1244283,1
1244284,1
1244285,1
1244286,2
1244286,3
1244286,4
1244287,1
1244288,2
1244288,3
1244289,1
1244290,4
1244291,1
1244292,1
1244293,6
1244293,3
1244293,4
1244294,1
1244295,2
1244295,3
1244295,4
1244296,2
1244296,3
1244296,4
1245338,1
1245339,1
1245340,1
1245341,1
1245342,1
1245343,1
1245344,1
1245345,1
1245347,1
1245348,1
1245431,1
1245432,1
1245433,1
1245434,1
1245435,3
1245437,1
1245438,2
1245438,3
1245439,2
1245439,3
1245440,1
1245441,1
1245442,2
1245442,3
1245442,4
1245443,2
1245443,3
1245444,1
1245445,1
1245446,3
1245446,4
1245447,1
1245448,1
1245449,2
1245449,3
1245450,1
1245451,2
1245452,1
1245453,1
1274530,2
1274833,2
1274834,2
1274834,3
1275885,1
1275886,1
1275887,1
1275888,1
1275889,1
1275890,1
1275891,1
1235285,1
1235379,3
1235380,3
1235771,3
1235877,3
1235974,3
1235975,1
1235976,1
1236004,3
1236004,2
1236004,5
1236004,4
1236386,1
1236387,1
1236388,1
1236389,1
1236390,1
1236391,1
1236408,2
1236410,1
1236634,1
1236640,1
1236642,1
1236644,1
1239442,3
1239442,2
1239442,5
1239442,4
1239446,5
1239453,1
1239457,2
1239457,3
1239459,1
1241054,5
1241104,5
1241106,5
1246369,1
1246764,1
1234088,2
1234088,3
1234218,3
1234219,1
1234343,4
1234343,3
1234788,3
1234789,4
1234789,2
1234789,3
1234798,1
1234799,1
1235122,1
1235123,4
1235123,2
1235123,3
1235124,4
1235124,3
1235125,4
1235125,2
1235125,1
1235125,5
1235125,3
1235126,1
1235130,4
1235131,4
1235131,3
1235132,4
1235132,2
1235132,3
1235133,2
1235133,3
1235134,2
1235134,3
1235153,2
1235153,3
1235154,2
1235154,3
1235155,2
1235155,3
1235156,4
1235156,2
1235156,3
1235167,2
1235167,3
1235426,4
1235426,3
1235427,1
1235428,3
1235429,2
1235429,3
1235473,4
1235473,2
1235473,3
1235474,4
1235474,2
1235474,3
1235482,4
1235482,2
1235482,3
1235483,2
1235496,4
1235496,2
1235496,3
1235497,3
1235498,4
1235514,2
1235514,3
1235517,3
1235521,4
1235521,2
1235521,3
1235527,1
1235528,3
1235529,2
1235529,3
1235535,4
1235535,2
1235540,4
1235540,2
1235540,3
1235555,4
1235555,3
1235564,4
1235564,2
1235564,5
1235564,3
1235568,1
1235569,3
1235570,4
1235570,2
1235570,3
1235571,2
1235571,3
1235572,4
1235572,2
1235573,2
1235573,5
1235573,3
1235574,2
1235574,5
1235574,3
1235575,4
1235575,3
1235803,1
1235804,4
1235804,2
1235805,4
1235805,2
1235805,3
1235807,1
1235809,1
1235811,4
1235811,2
1235818,4
1235818,2
1235831,3
1235832,3
1235834,3
1235835,4
1235835,2
1235835,3
1235838,4
1235838,3
1235841,3
1235845,4
1235845,2
1235845,3
1235849,4
1235849,2
1235849,3
1235850,4
1235850,2
1235850,3
1235859,4
1235859,2
1235859,3
1235861,4
1235861,2
1235861,3
1235863,4
1235863,2
1235864,4
1235864,2
1235864,3
1235865,4
1235865,2
1235865,5
1235865,3
1235866,4
1235866,3
1235867,3
1235868,3
1235869,4
1235869,2
1235869,3
1235870,2
1235870,3
1235871,3
1235872,3
1235873,4
1235873,3
1235874,4
1235874,2
1235874,5
1235874,3
1235875,4
1235875,2
1235875,3
1235987,2
1235987,3
1235988,4
1235988,2
1235988,5
1235988,3
1236706,4
1236706,2
1236706,5
1236706,3
1235508,2
1235508,3
1235515,6
1235515,3
1235516,4
1235516,2
1235516,7
1235516,5
1235516,3
1235522,6
1235523,2
1235523,6
1235523,3
1235523,4
1235524,2
1235524,6
1235524,3
1235524,4
1235525,5
1235525,3
1235525,4
1235526,2
1235526,5
1235526,6
1235526,4
1235530,4
1235530,2
1235530,5
1235531,4
1235531,7
1235531,5
1235531,3
1235565,3
1235592,2
1235592,3
1235592,5
1235592,4
1235593,2
1235593,3
1235593,4
1235600,2
1235600,5
1235600,3
1235600,4
1235806,4
1235806,2
1235806,5
1235806,3
1235808,4
1235808,2
1235808,5
1235808,3
1235808,8
1235812,4
1235812,2
1235812,5
1235812,3
1235817,2
1235819,4
1235819,2
1235819,7
1235819,5
1235819,3
1235819,8
1235820,4
1235820,2
1235820,7
1235820,5
1235820,3
1235821,4
1235821,2
1235821,3
1235821,8
1235822,4
1235822,2
1235822,7
1235822,5
1235822,3
1235822,8
1235823,3
1235823,5
1235824,2
1235824,7
1235824,3
1235824,5
1235825,3
1235825,2
1235825,5
1235825,7
1235825,4
1235826,2
1235826,7
1235826,4
1235827,2
1235827,7
1235827,3
1235827,5
1235828,3
1235830,8
1235830,3
1235830,2
1235830,6
1235830,5
1235830,4
1235833,4
1235833,2
1235833,6
1235833,7
1235833,5
1235833,3
1235833,8
1235839,7
1235839,3
1235840,2
1235840,6
1235840,7
1235840,5
1235840,3
1235842,2
1235842,3
1235843,4
1235843,5
1235843,3
1235844,8
1235844,3
1235844,2
1235844,5
1235844,7
1235844,4
1235846,6
1235846,7
1235846,3
1235847,3
1235851,4
1235852,4
1235852,2
1235853,4
1235853,2
1235853,6
1235853,7
1235853,5
1235853,3
1235853,8
1235854,4
1235854,2
1235854,6
1235854,3
1235855,4
1235855,2
1235855,7
1235855,5
1235855,3
1235856,4
1235856,2
1235856,6
1235856,5
1235856,3
1235857,4
1235857,2
1235857,6
1235857,7
1235857,5
1235857,8
1235858,2
1235858,3
1235860,8
1235860,5
1235862,2
1235862,3
1235876,4
1235876,2
1235878,8
1235878,2
1235878,6
1235878,3
1235981,4
1235981,2
1235981,6
1235981,7
1235981,5
1235981,3
1235982,4
1235982,2
1235982,6
1235982,7
1235982,5
1235982,3
1235982,8
1235983,4
1235983,2
1235983,7
1235983,5
1235983,3
1235993,4
1235993,2
1235993,3
1235994,3
1235994,2
1235994,7
1235994,5
1235994,4
1235995,8
1235995,3
1235995,2
1235995,7
1235995,6
1235995,5
1235995,4
1235996,5
1235996,6
1235996,3
1235996,4
1236013,3
1236013,4
1236014,3
1236014,4
1236035,2
1236035,7
1236035,6
1236035,3
1236229,4
1236229,2
1236229,6
1236360,4
1236360,2
1236360,6
1236360,5
1236360,3
1237023,4
1237023,3
1237035,4
1237035,2
1237035,3
1237860,2
1237860,3
1237861,4
1237861,2
1237861,5
1237861,3
1237862,4
1237862,2
1237862,3
1237863,2
1237863,3
1237864,2
1237864,3
1237865,2
1237865,3
1237866,4
1237866,2
1237866,3
1237867,4
1237867,2
1237867,6
1237867,3
1237868,4
1237868,2
1237868,3
1237869,2
1237869,3
1237870,3
1237871,4
1237871,2
1237872,2
1237873,2
1237874,2
1237874,3
1237875,2
1237875,3
1237876,4
1237876,2
1237876,6
1237876,5
1237876,3
1237877,4
1237877,2
1237877,3
1237878,2
1237878,3
1237879,4
1237879,2
1237879,6
1237879,3
1237880,4
1237880,2
1237880,3
1237881,4
1237881,2
1237881,6
1237881,5
1237881,3
1237882,2
1237882,3
1237883,2
1237883,3
1237884,4
1237884,2
1237884,3
1237886,4
1237886,2
1238048,4
1238048,2
1238048,6
1238048,3
1238049,4
1238049,2
1238049,3
1238053,4
1238053,2
1238053,3
1238057,4
1238057,2
1238057,3
1238058,4
1238058,3
1238062,4
1238062,2
1238063,4
1238063,2
1238063,3
1238064,4
1238064,2
1238064,6
1238464,2
1238464,3
1238466,4
1238466,3
1238487,4
1238487,2
1238488,2
1238488,3
1238524,4
1238524,3
1238735,4
1238735,3
1238736,4
1238736,2
1238736,3
1238737,2
1238737,3
1239305,4
1239305,2
1239305,3
1239306,4
1239306,2
1239306,6
1239306,5
1239306,3
1239307,2
1239307,3
1239308,2
1239308,3
1239335,2
1239335,3
1239337,2
1239337,6
1239340,2
1239340,3
1239433,2
1239433,6
1239433,3
1239434,2
1239434,3
1240427,4
1240427,2
1240427,3
1240506,4
1240506,2
1240506,6
1240506,3
1240507,4
1240507,2
1240507,5
1240507,3
1241122,4
1241122,2
1241122,6
1241122,3
1241123,2
1241123,6
1241123,5
1241123,3
1241135,4
1241135,2
1241136,4
1241136,2
1241136,3
1241137,6
1241137,3
1241138,2
1241138,3
1241139,4
1241139,2
1241139,6
1241139,3
1241140,4
1241140,2
1241140,6
1241140,3
1242109,4
1242109,2
1242109,5
1242109,3
1242562,2
1242562,3
1242941,4
1242941,2
1242941,3
1242942,4
1242942,2
1242942,6
1242942,3
1243174,4
1243174,2
1243174,3
1250985,4
1250985,5
1250985,3
1250986,2
1250986,3
1288416,4
1288416,5
1288417,2
1288417,3
1313985,2
1313985,3
1313986,4
1313986,3
1313987,2
1313987,3
1313988,4
1313988,3
1313989,4
1313989,3
1313990,2
1313990,3
1313991,2
1313991,3
1313992,2
1313992,3
1314044,4
1314044,2
1314044,3
1314045,4
1314045,2
1314045,3
1314053,4
1314053,2
1314053,6
1314053,3
