record_id,id
1234300,1
1235417,1
1235420,1
1235421,2
1235423,1
1235425,3
1235425,1
1235464,4
1235774,1
1235792,1
1235801,1
1235814,4
1235816,4
1235997,1
1235998,1
1235999,1
1236001,2
1236576,2
1236577,1
1236579,1
1236655,5
1236829,5
1236830,1
1238087,1
1238088,1
1238089,1
1238092,1
1238093,1
1238991,2
1238992,5
1238993,1
1239448,6
1240529,2
1241116,1
1241141,1
1241142,2
1241144,1
1241400,1
1241637,1
1241642,2
1242553,1
1242555,2
1244067,2
1244069,1
1244070,1
1244070,6
1244071,1
1258242,2
1258273,1
1258327,2
1258328,5
1258329,1
1258363,2
1258364,5
1258520,1
1258529,1
1258572,1
1258575,1
1258576,1
1258629,1
1258743,3
1258947,3
1258949,4
1258951,1
1258952,1
1259103,3
1259148,1
1259926,1
1259984,1
1259985,1
1260667,1
1263265,5
1263600,1
1263840,5
1264269,1
1264269,2
1237025,2
1237027,4
1237295,3
1237297,2
1237299,2
1237300,3
1237310,4
1238060,4
1238103,4
1238109,4
1238111,4
1238119,2
1238133,4
1238277,2
1242742,3
1243224,3
1243224,1
1245440,3
1245446,2
1235771,6
1236004,3
1239442,3
1239446,3
1234218,1
1234343,1
1234799,3
1235122,1
1235123,2
1235123,1
1235124,1
1235125,1
1235126,2
1235126,1
1235130,2
1235131,1
1235133,1
1235167,1
1235427,1
1235429,1
1235474,1
1235482,1
1235498,1
1235527,1
1235568,1
1235569,1
1235571,6
1235572,1
1235574,1
1235575,1
1235803,1
1235804,1
1235807,1
1235809,1
1235831,1
1235835,1
1235850,1
1235859,2
1235863,1
1235867,2
1235869,1
1235871,1
1235873,1
1235874,2
1235987,2
1236706,1
1235508,1
1235516,1
1235522,1
1235523,1
1235524,2
1235526,1
1235600,1
1235820,6
1235821,6
1235822,6
1235824,1
1235825,6
1235842,1
1235847,1
1235851,1
1235855,2
1235855,1
1235981,1
1235982,1
1235983,1
1235995,1
1236360,1
1237023,1
1237035,1
1237861,1
1237862,1
1237866,1
1237868,1
1237870,1
1237871,1
1237873,1
1237875,1
1237881,1
1238048,2
1238049,1
1238053,2
1238057,1
1238058,2
1238062,2
1238063,1
1238464,1
1238488,1
1238735,1
1239305,1
1239306,1
1239308,1
1239335,1
1239337,1
1239340,1
1239433,1
1239434,1
1240427,1
1240506,1
1240507,1
1241122,1
1241135,1
1241137,2
1241137,1
1241139,2
1241140,1
1242109,1
1242941,1
1242942,2
1243174,2
