record_id,id
1234175,1
1234175,2
1234175,3
1234175,4
1234175,5
1234175,6
1234300,1
1234300,2
1234300,3
1234300,5
1234300,6
1234301,1
1234301,2
1234301,3
1234301,6
1235047,1
1235047,7
1235047,2
1235047,3
1235047,4
1235047,6
1235048,1
1235048,2
1235048,3
1235048,6
1235048,5
1235049,1
1235049,2
1235049,8
1235049,3
1235049,4
1235049,6
1235049,5
1235373,2
1235373,1
1235374,2
1235374,3
1235374,1
1235374,6
1235375,3
1235375,2
1235375,1
1235376,2
1235376,3
1235376,5
1235376,1
1235376,6
1235414,1
1235414,2
1235414,3
1235415,1
1235415,2
1235415,3
1235416,1
1235416,2
1235416,6
1235417,1
1235417,7
1235417,2
1235417,3
1235418,1
1235418,2
1235418,3
1235418,5
1235418,6
1235419,1
1235419,2
1235420,1
1235420,2
1235420,3
1235420,6
1235421,1
1235421,7
1235421,2
1235421,3
1235422,1
1235422,2
1235422,3
1235422,6
1235423,1
1235423,2
1235423,3
1235423,6
1235424,1
1235424,2
1235424,3
1235424,4
1235424,6
1235425,1
1235425,2
1235425,3
1235425,6
1235460,1
1235460,2
1235460,3
1235460,4
1235460,5
1235461,1
1235461,2
1235462,1
1235462,2
1235462,3
1235463,1
1235463,2
1235463,3
1235464,1
1235464,2
1235464,3
1235464,6
1235465,1
1235465,7
1235465,2
1235465,8
1235465,3
1235465,4
1235465,6
1235466,1
1235466,7
1235466,2
1235466,3
1235466,4
1235467,1
1235467,2
1235467,3
1235467,4
1235467,5
1235467,6
1235468,1
1235468,2
1235469,1
1235469,2
1235469,6
1235470,1
1235470,2
1235470,4
1235470,5
1235471,1
1235471,2
1235471,3
1235471,5
1235566,2
1235566,3
1235566,1
1235567,2
1235567,3
1235567,1
1235567,5
1235567,4
1235772,2
1235772,3
1235772,1
1235772,5
1235772,4
1235773,2
1235773,3
1235773,1
1235773,5
1235773,4
1235773,7
1235774,2
1235774,3
1235774,1
1235774,5
1235775,2
1235775,3
1235775,1
1235775,6
1235775,7
1235776,2
1235776,5
1235776,1
1235777,2
1235777,6
1235777,1
1235778,3
1235778,2
1235778,1
1235779,3
1235779,2
1235779,1
1235779,4
1235779,6
1235779,7
1235780,2
1235780,3
1235780,1
1235780,5
1235780,4
1235780,6
1235781,2
1235781,3
1235781,1
1235781,5
1235781,4
1235781,7
1235782,3
1235782,2
1235782,1
1235782,6
1235783,1
1235783,2
1235783,3
1235783,6
1235784,1
1235784,2
1235784,3
1235785,1
1235785,7
1235785,2
1235785,3
1235785,6
1235786,1
1235786,2
1235786,3
1235786,5
1235786,6
1235787,1
1235787,2
1235787,3
1235788,1
1235788,9
1235788,2
1235788,3
1235788,5
1235788,6
1235789,1
1235789,2
1235789,3
1235790,1
1235790,7
1235790,2
1235790,3
1235790,6
1235791,1
1235791,2
1235791,3
1235792,1
1235792,7
1235792,2
1235792,3
1235792,5
1235792,6
1235793,1
1235793,2
1235793,3
1235793,4
1235794,1
1235794,2
1235795,1
1235795,7
1235795,2
1235795,3
1235795,6
1235796,1
1235796,7
1235796,2
1235796,3
1235796,4
1235796,6
1235797,1
1235797,2
1235798,1
1235798,2
1235798,3
1235798,5
1235798,6
1235799,1
1235799,2
1235799,3
1235800,1
1235800,7
1235800,2
1235800,3
1235800,4
1235800,5
1235801,1
1235801,7
1235801,2
1235801,3
1235801,5
1235801,6
1235802,2
1235802,1
1235814,1
1235814,7
1235814,2
1235814,3
1235815,1
1235815,7
1235815,2
1235815,3
1235815,6
1235816,3
1235816,2
1235816,1
1235997,2
1235997,3
1235997,1
1235997,7
1235998,3
1235998,2
1235998,1
1235998,5
1235998,4
1235999,2
1235999,3
1235999,5
1235999,1
1235999,4
1235999,6
1236000,2
1236000,3
1236000,1
1236000,4
1236000,6
1236000,7
1236001,2
1236001,3
1236001,1
1236001,5
1236001,4
1236001,6
1236572,1
1236572,2
1236572,3
1236572,4
1236573,1
1236573,2
1236573,10
1236573,8
1236573,3
1236573,4
1236573,6
1236574,1
1236574,7
1236574,2
1236574,3
1236574,6
1236575,1
1236575,7
1236575,2
1236575,3
1236575,6
1236575,5
1236576,1
1236576,2
1236576,3
1236576,6
1236576,5
1236577,1
1236577,2
1236577,3
1236577,5
1236577,6
1236578,1
1236578,7
1236578,2
1236578,3
1236578,6
1236579,1
1236579,2
1236579,8
1236579,3
1236579,4
1236579,6
1236579,5
1236580,1
1236580,2
1236580,3
1236580,4
1236580,5
1236649,1
1236649,2
1236649,4
1236649,6
1236650,1
1236650,2
1236650,3
1236655,2
1236655,3
1236655,1
1236655,4
1236655,6
1236727,3
1236727,2
1236727,1
1236727,4
1236727,6
1236828,1
1236828,2
1236828,3
1236828,6
1236829,1
1236829,2
1236829,3
1236829,4
1236829,6
1236830,1
1236830,7
1236830,2
1236830,3
1236830,6
1238086,1
1238086,2
1238086,3
1238086,5
1238087,1
1238087,2
1238087,3
1238087,11
1238087,4
1238087,5
1238088,1
1238088,2
1238088,6
1238089,1
1238089,7
1238089,2
1238089,3
1238089,4
1238089,6
1238092,1
1238092,2
1238092,3
1238092,6
1238093,1
1238093,2
1238093,3
1238093,6
1238094,1
1238094,7
1238094,2
1238094,3
1238094,5
1238094,6
1238740,2
1238740,3
1238740,1
1238740,6
1238741,2
1238741,6
1238741,1
1238742,2
1238742,3
1238742,1
1238742,6
1238991,2
1238991,3
1238991,10
1238991,1
1238991,5
1238992,2
1238992,3
1238992,1
1238992,6
1238993,2
1238993,3
1238993,1
1238993,5
1238993,12
1238993,6
1239448,2
1239448,3
1239448,1
1239448,6
1240499,3
1240499,2
1240499,6
1240499,1
1240529,2
1240529,3
1240529,1
1240529,6
1240567,2
1240567,3
1240567,1
1240567,6
1241116,1
1241116,2
1241116,3
1241116,6
1241117,1
1241117,2
1241117,3
1241117,4
1241117,5
1241117,6
1241120,1
1241120,2
1241120,3
1241120,6
1241141,1
1241141,2
1241141,3
1241141,4
1241141,6
1241142,1
1241142,2
1241142,3
1241142,5
1241142,6
1241143,1
1241143,2
1241143,3
1241143,6
1241144,1
1241144,2
1241144,3
1241144,5
1241144,6
1241342,2
1241342,3
1241342,1
1241342,5
1241342,4
1241342,6
1241344,1
1241344,2
1241344,3
1241344,6
1241400,5
1241400,4
1241400,2
1241400,3
1241400,8
1241400,1
1241400,6
1241620,2
1241620,3
1241620,1
1241620,6
1241620,7
1241636,3
1241636,2
1241636,1
1241636,5
1241636,12
1241636,7
1241637,2
1241637,3
1241637,1
1241638,2
1241638,3
1241638,1
1241638,4
1241638,6
1241639,2
1241639,3
1241639,1
1241639,8
1241639,5
1241639,6
1241640,2
1241640,3
1241640,1
1241640,6
1241641,2
1241641,3
1241641,1
1241641,6
1241641,7
1241642,2
1241642,3
1241642,1
1241642,5
1241642,6
1242553,2
1242553,3
1242553,1
1242553,5
1242553,6
1242553,7
1242554,2
1242554,6
1242554,1
1242554,5
1242555,5
1242555,4
1242555,7
1242555,2
1242555,3
1242555,1
1242555,6
1242573,2
1242573,3
1242573,1
1242573,5
1242573,6
1242573,7
1242574,2
1242574,3
1242574,1
1242574,5
1242574,6
1244067,2
1244067,6
1244067,1
1244068,2
1244068,3
1244068,1
1244068,6
1244069,2
1244069,3
1244069,1
1244069,6
1244070,2
1244070,1
1244070,4
1244070,6
1244070,7
1244071,2
1244071,3
1244071,1
1244071,6
1244072,2
1244072,3
1244072,5
1244072,1
1244072,6
1244073,2
1244073,3
1244073,1
1244073,4
1244073,6
1258242,7
1258242,5
1258273,7
1258273,10
1258273,8
1258273,5
1258327,2
1258327,3
1258327,1
1258327,6
1258328,3
1258328,2
1258328,1
1258328,5
1258328,4
1258329,2
1258329,3
1258329,1
1258329,4
1258329,6
1258329,7
1258363,3
1258363,6
1258364,3
1258364,4
1258364,5
1258365,3
1258365,6
1258389,7
1258389,5
1258389,6
1258390,5
1258390,6
1258391,3
1258391,4
1258391,6
1258391,5
1258489,3
1258489,4
1258520,13
1258528,3
1258529,7
1258529,3
1258529,5
1258529,6
1258572,7
1258572,3
1258572,6
1258575,7
1258575,3
1258575,6
1258576,3
1258576,5
1258576,6
1258629,7
1258629,3
1258629,4
1258629,6
1258629,5
1258694,3
1258694,6
1258743,3
1258743,4
1258743,6
1258947,2
1258947,3
