record_id,id
1235461,1
1235463,2
1235466,3
1235466,2
1235469,2
1235471,4
1235566,2
1235566,5
1235566,1
1235566,6
1235566,7
1235566,3
1235567,2
1235567,5
1235567,7
1235567,1
1235567,3
1235567,6
1235772,2
1235772,5
1235772,7
1235772,1
1235773,1
1235773,2
1235773,7
1235774,1
1235774,7
1235775,2
1235775,5
1235775,7
1235775,1
1235776,1
1235776,7
1235777,1
1235777,7
1235778,1
1235778,6
1235778,7
1235779,5
1235779,7
1235779,1
1235779,6
1235780,2
1235781,1
1235781,3
1235781,2
1235781,7
1235782,1
1235782,7
1235783,6
1235783,8
1235784,8
1235785,8
1235786,7
1235786,1
1235786,5
1235786,8
1235787,1
1235787,8
1235788,7
1235788,1
1235788,5
1235789,6
1235789,5
1235789,8
1235790,7
1235790,1
1235790,6
1235790,5
1235790,8
1235791,5
1235791,8
1235792,7
1235792,6
1235792,5
1235793,7
1235793,6
1235793,5
1235793,8
1235794,7
1235794,9
1235795,1
1235795,2
1235796,2
1235797,1
1235797,2
1235798,1
1235798,9
1235799,7
1235799,1
1235799,5
1235800,7
1235800,3
1235800,1
1235800,2
1235801,1
1235802,1
1235802,5
1235802,7
1235814,3
1235814,2
1235815,2
1235815,5
1235816,5
1235816,7
1235816,1
1235997,1
1235997,6
1235997,7
1235998,10
1235998,4
1235999,2
1235999,7
1235999,1
1235999,3
1235999,6
1236000,2
1236000,5
1236000,7
1236000,3
1236000,6
1236001,2
1236001,7
1236001,1
1236001,3
1236001,6
1236572,7
1236572,3
1236572,1
1236572,5
1236573,7
1236573,3
1236573,1
1236573,6
1236573,5
1236574,1
1236574,5
1236575,7
1236575,1
1236575,5
1236576,7
1236576,1
1236576,6
1236577,7
1236577,1
1236577,5
1236578,7
1236578,1
1236578,5
1236579,7
1236579,1
1236579,6
1236579,5
1236580,7
1236580,3
1236580,1
1236580,6
1236649,7
1236649,1
1236649,6
1236650,7
1236650,1
1236650,6
1236655,10
1236655,4
1236727,2
1236727,11
1236727,7
1236727,1
1236727,6
1236828,7
1236828,1
1236829,7
1236829,1
1236830,7
1236830,1
1236830,6
1236830,5
1238086,3
1238086,2
1238087,3
1238087,6
1238087,2
1238088,1
1238089,3
1238089,6
1238089,2
1238092,1
1238092,2
1238093,1
1238093,2
1238094,2
1238094,5
1238740,2
1238740,5
1238740,7
1238740,1
1238740,3
1238740,6
1238741,1
1238741,7
1238742,10
1238991,10
1238991,4
1238992,10
1238993,2
1238993,7
1238993,1
1238993,3
1238993,6
1239448,1
1239448,2
1239448,7
1240499,2
1240499,7
1240499,1
1240499,3
1240499,6
1240529,2
1240529,7
1240529,1
1240529,3
1240529,6
1240567,1
1240567,3
1240567,6
1240567,7
1241116,2
1241117,1
1241120,1
1241120,2
1241141,7
1241141,1
1241142,7
1241142,3
1241142,1
1241143,7
1241143,5
1241144,7
1241144,1
1241342,10
1241342,4
1241344,7
1241344,1
1241344,2
1241400,1
1241400,12
1241400,7
1241620,1
1241620,5
1241620,7
1241636,5
1241636,7
1241636,1
1241636,3
1241636,6
1241637,4
1241638,1
1241638,6
