record_id,id
1234175,1
1234175,2
1234175,3
1234300,4
1234301,2
1234301,4
1234301,5
1235047,2
1235047,4
1235048,2
1235049,1
1235049,2
1235374,2
1235375,4
1235375,3
1235375,2
1235376,1
1235376,2
1235414,2
1235414,6
1235414,5
1235415,2
1235416,2
1235418,2
1235419,2
1235419,4
1235420,2
1235421,4
1235422,2
1235423,2
1235424,2
1235424,4
1235425,2
1235425,4
1235460,6
1235464,2
1235464,3
1235465,2
1235465,6
1235466,3
1235466,5
1235467,2
1235467,5
1235471,3
1235567,4
1235772,3
1235772,6
1235773,6
1235773,5
1235774,2
1235775,3
1235775,2
1235775,5
1235776,1
1235776,3
1235776,2
1235777,2
1235777,3
1235779,3
1235779,6
1235779,2
1235779,5
1235780,3
1235780,2
1235781,4
1235781,3
1235781,2
1235781,5
1235782,3
1235782,2
1235783,2
1235784,2
1235786,2
1235787,1
1235787,2
1235788,2
1235789,1
1235790,2
1235791,2
1235792,2
1235793,2
1235793,4
1235793,6
1235794,3
1235794,7
1235795,8
1235795,4
1235796,3
1235796,5
1235797,3
1235797,5
1235798,2
1235799,2
1235799,4
1235800,3
1235800,5
1235801,3
1235815,3
1235815,5
1235816,2
1235997,3
1235997,5
1235998,1
1235998,4
1235998,2
1235998,5
1235998,3
1235998,6
1235999,2
1236000,3
1236000,2
1236001,2
1236001,5
1236572,1
1236573,1
1236573,4
1236573,6
1236574,3
1236575,2
1236576,2
1236577,2
1236578,2
1236579,6
1236649,2
1236650,2
1236655,2
1236727,6
1236727,2
1236828,2
1236828,4
1236828,5
1236829,8
1236829,4
1236830,2
1238086,2
1238086,3
1238086,7
1238086,5
1238087,1
1238087,4
1238089,2
1238092,2
1238093,2
1238094,3
1238094,5
1238740,2
1238741,2
1238742,2
1238991,4
1238991,3
1238991,2
1238992,6
1238992,2
1238993,4
1238993,2
1239448,3
1239448,2
1239448,5
1240499,2
1240529,5
1240567,2
1241116,2
1241116,4
1241117,2
1241117,3
1241117,5
1241120,2
1241120,3
1241120,7
1241120,5
1241141,2
1241143,2
1241143,4
1241144,2
1241344,2
1241344,4
1241400,4
1241620,4
1241636,4
1241636,3
1241636,2
1241637,4
1241637,3
1241637,2
1241638,7
1241638,6
1241638,2
1241639,4
1241639,7
1241639,2
1241639,6
1241640,3
1241640,2
1241641,2
1241642,7
1241642,3
1241642,2
1242553,2
1242554,6
1242554,2
1242554,5
1242555,3
1242555,2
1242573,3
1242573,2
1242573,5
1242574,3
1242574,2
1244067,2
1244068,3
1244068,2
1244069,2
1244070,4
1244070,3
1244070,6
1244070,2
1244071,2
1244072,2
1244073,2
1258242,2
1258242,4
1258273,2
1258273,4
1258327,2
1258328,4
1258329,2
1258363,4
1258364,4
1258365,2
1258365,4
1258389,4
1258390,4
1258391,4
1258489,2
1258489,4
1258520,2
1258520,4
1258528,2
1258528,4
1258529,2
1258529,4
1258572,2
1258572,4
1258575,2
1258575,4
1258576,4
1258629,2
1258629,4
1258694,4
1258743,2
1258743,4
1258947,2
1258948,4
1258949,2
1258950,2
1258951,7
1258952,7
1259011,2
1259080,2
1259101,4
1259102,2
1259102,4
1259103,1
1259103,4
1259148,2
1259148,4
1259926,4
1259983,2
1259983,4
1259984,4
1259985,2
1259985,4
1260667,2
1260667,4
1260827,2
1261592,2
1263055,4
1263265,2
1263600,2
1263601,2
1263601,5
1263840,2
1264269,1
1237024,4
1237024,6
1237024,2
1237025,6
1237025,2
1237027,6
1237027,2
1237295,4
1237295,5
1237296,6
1237296,2
1237297,6
1237297,2
1237298,6
1237298,2
1237299,6
1237299,2
1237300,6
1237300,2
1237310,2
1238060,2
1238103,4
1238103,6
1238103,2
1238109,2
1238111,2
1238111,5
1238119,2
1238133,6
1238133,2
1238277,4
1238277,6
1238277,2
1238278,2
1238280,4
1238280,6
1238280,2
1238282,2
1238283,4
1238283,6
1238284,2
1242741,2
1242741,6
1242742,1
1242742,2
1242853,2
1242853,3
1243181,2
1243221,2
1243222,2
1243223,2
1243224,1
1243224,6
1243225,2
1243240,2
1243250,2
1244272,2
1244273,2
1244274,2
1244275,2
1244276,2
1244277,2
1244278,2
1244279,2
1244280,2
1244281,2
1244282,2
1244283,2
1244284,2
1244285,2
1244286,2
1244287,2
1244288,2
1244289,2
1244290,2
1244291,2
1244292,1
1244292,8
1244292,4
1244292,3
1244293,6
1244294,2
1244295,2
1244296,2
1245338,2
1245338,6
1245339,2
1245339,6
1245340,2
1245340,6
1245341,2
1245341,6
1245342,2
1245342,6
1245343,2
1245343,6
1245344,2
1245344,6
1245345,2
1245345,6
1245347,1
1245347,2
1245348,2
1245348,6
1245431,1
1245432,1
1245434,2
1245436,6
1245436,2
1245438,6
1245438,2
1245439,4
1245439,2
1245441,4
1245442,4
1245442,2
1245443,4
1245443,2
1245444,2
1245446,2
1245447,2
1245451,6
1245451,2
1245453,4
1245453,2
1274833,6
1274833,2
1274834,6
1274834,2
1275886,2
1275887,6
1275887,2
1275888,2
1275888,5
1275889,2
1275890,2
1275891,2
1235379,2
1235380,6
1235771,7
1235877,4
1235877,2
1235974,4
1235974,6
1235975,4
1235976,5
1236004,4
1236004,6
1236004,2
1236386,4
1236642,2
1241054,2
1241104,2
1234088,2
1234088,7
1234088,4
1234218,2
1234343,2
1234343,7
1234343,4
1234788,2
1234788,7
1234788,4
1234789,7
1234789,4
1234799,2
1234799,6
1235122,2
1235122,7
1235122,4
1235123,1
1235123,2
1235123,3
1235123,7
1235123,4
1235123,6
1235124,1
1235124,2
1235124,7
1235124,4
1235124,6
1235125,2
1235125,7
1235125,4
1235125,6
1235126,2
1235126,7
1235126,4
1235130,2
1235131,1
1235131,2
1235131,4
1235131,6
1235132,6
1235133,2
1235134,1
1235134,2
1235134,7
1235153,4
1235154,2
1235154,4
1235155,2
1235155,4
1235155,6
1235156,2
1235156,4
1235167,1
1235167,2
1235167,4
1235426,7
1235426,4
1235427,2
1235427,4
1235429,2
1235429,7
1235429,4
1235473,2
1235474,2
1235474,6
1235482,2
1235482,7
1235482,3
1235482,4
1235482,6
1235483,2
1235496,2
1235497,2
1235497,5
1235498,2
1235514,2
1235517,2
1235527,2
1235527,5
1235528,2
1235529,2
1235555,2
1235564,2
1235564,6
1235564,5
1235568,2
1235569,2
1235569,4
1235570,2
1235571,2
1235575,2
1235575,4
1235804,2
1235805,2
1235807,2
1235807,5
1235809,2
1235811,1
1235811,2
1235811,5
1235831,2
1235832,2
1235834,2
1235834,5
1235835,1
1235835,2
1235835,5
1235838,1
1235838,2
1235841,2
1235849,3
1235850,2
1235863,2
1235865,2
1235867,2
1235868,2
1235869,2
1235870,2
1235871,1
1235871,2
1235872,2
1235873,2
1235875,1
1235875,2
1235875,6
1235987,2
1235987,4
1235987,5
1235988,2
1236706,2
1236706,4
1235508,2
1235516,3
1235516,4
1235522,7
1235523,1
1235523,4
1235523,7
1235523,2
1235523,3
1235524,1
1235524,4
1235524,7
1235524,2
1235526,4
1235526,7
1235526,3
1235526,2
1235530,2
1235531,6
1235565,1
1235565,4
1235565,6
1235565,2
1235592,4
1235592,7
1235592,2
1235592,5
1235593,1
1235593,4
1235593,2
1235600,4
1235600,7
1235600,2
1235600,5
1235806,4
1235808,4
1235812,2
1235817,2
1235819,2
1235820,1
1235820,2
1235820,7
1235820,4
1235820,6
1235821,1
1235821,7
1235821,4
1235821,6
1235822,7
1235822,4
1235822,6
1235825,4
1235825,2
1235827,1
1235827,4
1235827,7
1235827,2
1235828,4
1235833,7
1235833,4
1235833,6
1235839,2
1235839,4
1235840,2
1235840,4
1235842,4
1235842,2
1235843,2
1235844,4
1235844,3
1235846,1
1235851,6
1235853,7
1235853,4
1235853,6
1235855,2
1235855,7
1235855,4
1235856,7
1235856,4
1235856,6
1235857,2
1235858,2
1235862,4
1235862,2
1235862,5
1235876,2
1235876,7
1235878,4
1235878,2
1235981,2
1235981,6
1235982,6
1235983,2
1235983,7
1235983,6
1235993,1
1235993,2
1235993,6
1235994,1
1235994,4
1235994,2
1235995,4
1235995,2
1235996,4
1235996,2
1236013,4
1236013,7
1236013,2
1236014,2
1236014,5
1236035,1
1236035,4
1236035,2
1236229,1
1236229,2
1236360,2
1236360,5
1237023,1
1237023,2
1237035,8
1237035,2
