record_id,region,country,edu_level,fbo_membership,social_membership,smb_clim_infor,climate_access,clim_infor_useful,years_climate_information,willing_payment_cli,willing_payment,willing_payment_threshold,prioritized_csa_practices,csa_prioritized_inputs,commodity_value_inputs,crop_harvest_inputs,access_credit,amount_funded_input,access_extension_service,times_exten_agents,visit_exten_service,meet_exten_agents,times_hh_mem,medium_exten_service,who_exten_service,MOFAplus,payment_exten_service,price_per_service,hh_mem_payment,crop_produce_inputs,agric_extn_agent_hh,visit_hh_extn_agent,hh_member_talk,participation_agric_serv,hh_member_participated,organization_training,topic_discussed,asking_training,usefulness_training,timeliness_training,hh_member_participated2,Sheep,Poultry,Pigs,Goats,Donkey,Cattle,Bulls,unit_price_livestock,Tractor,Television,Refrigerator,Radio,Plough,Motorbike,Mobilephone,Hoe,Cutlass,Car,Watertank,Water pump,PH drying,Granary,Donkey cart,Bike,unit_price_assets,status,AutoRecordedGIS,AgecategoryofHousehold,Agecategory,CO,acres_land,distance_land,years_farming_land,sel_crop_years,CU,Sourceofinformationonthepra,WhenYeardidyoustartusing,Areacoveredbythepractice,Whydoyoupreferthispractice,CZ,Commonsource,Distancefromhousetothesourc,AverageCostperunitGHS,Whatistheunit,Perceptionofcost,ConstraintstoAccess,DG,Specifyforother,Whatisthetotalacreagescul,Whatisthetotalquantityharve,Whatisthetotalquantityofyo,Whatistheaveragepriceinthe,WillyouAreyoucultivatingth,Whatisyourestimatedyieldfor,DO,DP,Maize100kg,Cowpea100kg,Yam100tubers,Orangefleshsweetpotato100kg,Tomatoes50kg,DV,AmountrequestedinGHS,Amountgranted,DY,DZ,Didyourequest,Perceptiononusefulnessofassi,Timelinessofassistanceorinfo,ED,Number_Qty,UnitpriceGHC,Whoownsthisproperty,Whodecidestodisposeoffthis,EI,NumberQty,EK,EL,EM,latitude,longitude
1234175,Bono East,Ghana,Basic Education,Yes,Yes,Yes,Yes,Very useful,10.0,No,,,,,2.0,2.0,No,,Yes,6.0,Yes,Husband,,Face-to-face(extension agents to farmer),"Research, MOFA Extension",MOFA + NGO Private Research,No,,,1.0,No,,,Yes,Husband,Research institution/universities,Specific agricultural technologies,No,Very useful,Not always timely,Husband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,rejected,"7.9743758,-1.8167344,8.5",,,Owned,5.0,6.5,15.0,15.0,,,,,,,,,,,,,Other,Ginger,3,56 bags,56 bags,300,Yes,20 bag,Quantity Consumed,0,0,0,300,0,0,,,,General crop production advice,0,Yes,Very useful,Not always timely,,,,,,Mobile Phone,2.0,300.0,my wife and I,Husband,7.9743758,-1.8167344
1234300,Bono East,Ghana,,Yes,Yes,No,Yes,Very useful,10.0,Yes,2.0,Yes,,,1.0,2.0,,1.0,Yes,3.0,No,,,Face-to-face(extension agents to farmer),MOFA Extension,MOFA only,No,,,2.0,No,,,Yes,Son,Government agencies,Crop management,No,Very useful,Timely,Son,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,rejected,"7.9736358,-1.8547442,4.288",,,Rented from others,10.0,4.0,10.0,25.0,"Promotion of stress (drought, early maturing, striga and low N ) tolerant Improved maize, cowpea varieties",Other farmers,2001.0,5.0,Climate Smartness,,,,,,,,Yam,0,5,800 tubers,not sold,not sold,Yes,10000,Quantity Consumed,0,0,0,100,0,0,Informal savings and credit group,1000.0,1000.0,Use of fertilizer,0,No,Very useful,Timely,Goats,2.0,150.0,Husband,Husband,Mobile Phone,4.0,70.0,Myself,Husband,7.9736358,-1.8547442
1234301,Bono East,Ghana,,No,Yes,No,Yes,Somewhat useful,10.0,No,,,,,2.0,3.0,No,,Yes,3.0,No,,,Face-to-face(extension agents to farmer),MOFA Extension,MOFA only,No,,,4.0,No,,,No,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,rejected,"7.9737166,-1.8547034,8.576",,,Rented from others,3.0,6.0,25.0,25.0,"Minimum tillage for maize, cowpea and vegetable production",Other farmers,2009.0,3.0,Climate Smartness,,,,,,,,Yam,0,1,100 tubers,80 tubers,0,Yes,0,Quantity lost through Post-harvest losses,0,5kg,0,20 tubers,0,0,,,,Pest and disease management,0,Yes,Useful,Timely,Poultry,10.0,30.0,Husband,Husband,Radio,1.0,60.0,Husband,Husband,7.9737166,-1.8547034
1235047,Bono East,Ghana,Basic Education,Yes,Yes,Yes,Yes,Very useful,3.0,Yes,0.5,No,,,2.0,2.0,No,,Yes,6.0,Yes,Husband,1.0,Face-to-face(extension agents to farmer),"Research, MOFA Extension",MOFA + NGO Private Research,No,,,1.0,No,,,Yes,Myself,Research institution/universities,Specific agricultural technologies,No,Very useful,Timely,Husband,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,OK,"7.9468923,-1.6227417,12.0",,,Rented from others,11.0,3.0,3.0,2.0,"Promotion of stress (drought, early maturing, striga and low N ) tolerant Improved maize, cowpea varieties",Government Extension Officers,2018.0,3.0,End User friendliness,,,,,,,,Yam,0,5,1400,1400,1100,Yes,300,Quantity kept for planting (seed),0,3,0,100,0,0,,,,General crop production advice,0,Yes,Useful,Untimely,Sheep,1.0,300.0,Husband,Husband,Mobile Phone,2.0,100.0,Husband,Husband,7.9468923,-1.6227417
1235048,Bono East,Ghana,Secondary Education,Yes,Yes,Yes,Yes,Very useful,4.0,Yes,10.0,Yes,,,2.0,2.0,No,,Yes,7.0,Yes,Husband,4.0,Face-to-face(extension agents to farmer),"NGOs, MOFA Extension",MOFA + NGO Private Research,No,,,3.0,No,,,Yes,Myself,Government agencies,Crop management,No,Very useful,Timely,Myself,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,rejected,"7.9475395,-1.6235471,5.36",Below or = 14 years,25 years to 60 years,Owned,4.0,1.0,20.0,2002.0,Promotion of disease and pest tolerant maize and cowpea varieties,Farmer Group members,2016.0,3.0,Climate Smartness,,,,,,,,Maize,0,3,17,16,3500,Yes,5000,Quantity Consumed,0,1,0,400,0,0,,,,Use of improved varieties,0,No,Very useful,Timely,Poultry,4.0,20.0,Myself,Son,Mobile Phone,1.0,120.0,Myself,Wife,7.9475395,-1.6235471
1235049,Bono East,Ghana,Tertiary,Yes,Yes,Yes,Yes,Very useful,4.0,Yes,5.0,Yes,,,2.0,2.0,No,,Yes,6.0,Yes,Myself,1.0,Face-to-face(extension agents to farmer),"NGOs, MOFA Extension",MOFA + NGO Private Research,No,,,5.0,Yes,3.0,Myself,No,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,rejected,"7.9469076,-1.6227648,7.504",15 to 24 years,15 years to 24 years,Owned,3.0,5.0,5.0,2017.0,Seedbed options-Ridging as an alternative to mounding for yam production,Government Extension Officers,2021.0,3.0,End User friendliness,,,,,,,,Yam,0,2,1500,1000,10000,Yes,5000,Quantity Consumed,0,50,0,300,0,0,,,,Pest and disease management,0,No,Very useful,Timely,Sheep,12.0,400.0,Myself,Wife,Hoe,4.0,20.0,Wife,Son,7.9469076,-1.6227648
1235373,Bono East,Ghana,No Formal Education,No,Yes,No,Yes,,5.0,No,,,,,2.0,2.0,No,,Yes,4.0,No,,,Face-to-face(extension agents to farmer),MOFA Extension,MOFA only,No,,,1.0,No,,,No,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,OK,"8.0905183,-1.5316109,14.158",Below or = 14 years,Below or = 14 years,Sharecropped,2.0,3.0,2.0,2.0,"Minimum tillage for maize, cowpea and vegetable production",Other farmers,2019.0,2.0,Climate Smartness,,,,,,,,Yam,0,1,6,5,2000,Yes,4000,Quantity Consumed,0,1,0,0.5,0,0,,,,Use of fertilizer,0,Yes,Very useful,Timely,Poultry,17.0,25.0,Myself,Myself,Hoe,5.0,20.0,Myself,0,8.0905183,-1.5316109
1235374,Bono East,Ghana,Basic Education,No,No,No,Yes,Somewhat useful,10.0,No,,,,,2.0,3.0,No,,No,0.0,No,,,,,No access,,,,1.0,No,,,No,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,OK,"7.9538117,-1.6293458,9.607",25 years to 60 years,15 years to 24 years,Temporary offer for cropping,3.0,1.0,15.0,10.0,Promotion of disease and pest tolerant maize and cowpea varieties,Government Extension Officers,2013.0,2.0,Gender and social inclusion,,,,,,,,Maize,0,2,11,9,4000,Yes,6000,Quantity used as payment for inputs,0,0,0,50,0,0,,,,Other,None,No,0,0,Sheep,10.0,450.0,Myself,Myself,Radio,1.0,50.0,Myself,0,7.9538117,-1.6293458
1235375,Bono East,Ghana,Secondary Education,Yes,Yes,No,Yes,Very useful,20.0,Yes,10.0,Yes,,,2.0,3.0,No,,Yes,2.0,No,,,Face-to-face(extension agents to farmer),"Research, MOFA Extension, Private",MOFA + NGO Private Research,No,,,4.0,No,,,Yes,Myself,Research institution/universities,Specific agricultural technologies,No,Very useful,Timely,Myself,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,OK,"8.1163629,-1.5564194,9.86",15 to 24 years,Below or = 14 years,Temporary offer for cropping,6.0,2.0,5.0,5.0,Promotion of disease and pest tolerant maize and cowpea varieties,Government Extension Officers,2010.0,1.0,Climate Smartness,,,,,,,,Yam,0,2,20,16,5600,Yes,8500,Quantity lost through Post-harvest losses,0,0,0,1,0,0,,,,Use of fertilizer,0,Yes,Useful,Timely,Goats,6.0,350.0,Myself,Myself,Mobile Phone,1.0,125.0,Myself,0,8.1163629,-1.5564194
1235376,Bono East,Ghana,Tertiary,No,Yes,No,Yes,Somewhat useful,18.0,Yes,10.0,Yes,,,4.0,2.0,No,,Yes,1.0,Yes,Uncle,,Face-to-face(extension agents to farmer),"Research, MOFA Extension, NGOs, Private",MOFA + NGO Private Research,No,,,2.0,No,,,No,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,OK,"7.954622,-1.6295326,12.136",Below or = 14 years,Below or = 14 years,Temporary offer for cropping,10.0,2.0,7.0,7.0,Promotion of disease and pest tolerant maize and cowpea varieties,Government Extension Officers,2018.0,3.0,Adaptability,,,,,,,,Maize,0,3,20,16,6400,Yes,9000,Quantity Consumed,0,3,1,200,0,0,,,,Use of fertilizer,0,No,Very useful,Timely,Poultry,50.0,50.0,Uncle,Uncle,Mobile Phone,1.0,70.0,Myself,0,7.954622,-1.6295326
